fight_id,Method:,Round:,Time:,Time format:,winner,loser
e761c5009c09b295,Submission,2,2:05,5 Rnd (5-5-5-5-5),Alexandre Pantoja,Kai Asakura
c409c3a5eda764ba,Submission,1,2:19,3 Rnd (5-5-5),Mike Swick,Joe Riggs
3a94bf34e62ae5fd,KO/TKO,1,3:50,5 Rnd (5-5-5-5-5),Jacare Souza,Derek Brunson
d72f9b3ac742a9e3,Decision - Split,3,5:00,3 Rnd (5-5-5),TJ Brown,Kai Kamaka III
760b5b16b4931a77,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Roxanne Modafferi,Maycee Barber
32a8f38bd1d46e3e,Submission,2,1:46,3 Rnd (5-5-5),Diego Ferreira,Anthony Pettis
6c79db79da9ae874,Submission,1,1:04,3 Rnd (5-5-5),Guido Cannetti,Randy Costa
8c124a6196e39ad8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Munoz,Tim Boetsch
bb9020ac324fb706,KO/TKO,1,3:49,5 Rnd (5-5-5-5-5),Eddie Alvarez,Rafael Dos Anjos
731a3120fdffa44c,KO/TKO,2,1:27,3 Rnd (5-5-5),Brandon Vera,Michael Patt
9b10db4499b211b7,Submission,1,2:08,3 Rnd (5-5-5),Luke Rockhold,Tim Boetsch
c92a4fe402579c49,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Wilson,Steve Bruno
bfe4950b3de83e9c,KO/TKO,1,1:25,3 Rnd (5-5-5),Iwo Baraniewski,Junior Tafa
357781ff34a3d39f,Submission,2,1:49,3 Rnd (5-5-5),James Moontasri,Cody Pfister
df42fd9af4740d24,KO/TKO,3,2:33,3 Rnd (5-5-5),Jeremy Stephens,Marcus Davis
784a57385d0e87ff,Submission,3,4:45,3 Rnd (5-5-5),Jake Matthews,Johnny Case
6921344f8e706d0f,KO/TKO,4,4:09,5 Rnd (5-5-5-5-5),Stipe Miocic,Daniel Cormier
f24144fbe9e32c10,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Taylor Lapilus,Leandro Issa
e5cb9dfc1189d77d,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kyler Phillips,Raoni Barcelos
90eb22b9eb6ed2a8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kyle Daukaus,Dustin Stoltzfus
bce8ece2ff26b4d4,Submission,2,4:11,3 Rnd (5-5-5),Nate Landwehr,Austin Lingo
8f00da6ea8186ce2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rinat Fakhretdinov,Bryan Battle
212527d462690304,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateusz Gamrot,Ludovit Klein
4bf0be780f2d09be,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Shane Burgos,Tiago dos Santos e Silva
cad44cd2466fb68f,KO/TKO,1,1:37,3 Rnd (5-5-5),Anthony Birchak,Joe Soto
0f215b143e08f425,Decision - Split,3,5:00,3 Rnd (5-5-5),Alptekin Ozkilic,Darren Uyenoyama
539a550c0c1acd3e,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Joshua Burkman,Chad Reiner
358468724d7d4322,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Benito Lopez,Vince Morales
5c281439d20184f1,KO/TKO,3,1:11,5 Rnd (5-5-5-5-5),Jan Blachowicz,Aleksandar Rakic
8b0ff8defc1a14f4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ryan LaFlare,Ben Alloway
c420c376cc1d149c,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tim Elliott,Tagir Ulanbekov
e186bd5e556f1b5e,KO/TKO,2,2:39,3 Rnd (5-5-5),Geoff Neal,Niko Price
6e2254b4fd39ce40,KO/TKO,1,0:24,3 Rnd (5-5-5),David Terrell,Matt Lindland
39417b7d07c2fd83,Submission,3,3:08,3 Rnd (5-5-5),Nicolle Caliari,Shauna Bannon
434abaea90ccd299,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lucas Rocha,Stewart Nicoll
ece3a7a9e930ef9d,Decision - Split,3,5:00,3 Rnd (5-5-5),Uriah Hall,Antonio Carlos Junior
fdafa20b7ec8cb44,Submission,1,3:08,3 Rnd (5-5-5),David Terrell,Scott Smith
3b2a24db4eeaeede,Submission,1,1:17,3 Rnd (5-5-5),Valter Walker,Don'Tale Mayes
f3e1c02ce14bccfe,KO/TKO,2,3:18,3 Rnd (5-5-5),Derrick Lewis,Ruan Potts
f882cf76a8bce308,KO/TKO,1,3:21,3 Rnd (5-5-5),Zubaira Tukhugov,Kevin Aguilar
420f4e4dc341eb57,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Alan Jouban,Belal Muhammad
278cd1803ccc004f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sergio Pettis,Chris Cariaso
a3ef3d05ddd80a94,KO/TKO,1,4:05,3 Rnd (5-5-5),Ihor Potieria,Mauricio Rua
d417609ea9670fb3,Submission,1,4:37,3 Rnd (5-5-5),Yancy Medeiros,Joe Proctor
40fa4f8b4b93884e,KO/TKO,3,0:21,3 Rnd (5-5-5),Mairon Santos,Muhammad Naimov
762de3b0b32ba937,KO/TKO,3,4:09,3 Rnd (5-5-5),Travis Browne,Matt Mitrione
3249bbbb7ce837ef,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Makdessi,Ross Pearson
460b421493dd9fb8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Roan Carneiro,Rich Clementi
1cbffe3a467d0ded,KO/TKO,4,4:09,5 Rnd (5-5-5-5-5),Mauricio Rua,Brandon Vera
49694c2d00c581ed,KO/TKO,1,0:42,3 Rnd (5-5-5),Volkan Oezdemir,Jimi Manuwa
fa77134e0d90da3b,KO/TKO,1,1:06,3 Rnd (5-5-5),Iuri Alcantara,Joe Soto
e2b32e1683a566af,Submission,1,1:08,1 Rnd (20),Patrick Smith,Rudyard Moncayo
1ce1a43ef68ffc7d,KO/TKO,1,2:02,3 Rnd (5-5-5),Vince Morales,Louis Smolka
97caf8fca9d9603b,KO/TKO,2,4:46,3 Rnd (5-5-5),Dominick Reyes,Anthony Smith
b3c74554c871fbf8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Brandon Moreno,Jussier Formiga
cbf1e76186a0c8b3,Submission,1,2:39,3 Rnd (5-5-5),Kevin Holland,Michael Chiesa
7e551ddb1494a45f,KO/TKO,2,2:10,3 Rnd (5-5-5),Ryan Spann,Marcus Buchecha
2d13778322a8af82,Submission,1,2:06,3 Rnd (5-5-5),Mitch Gagnon,Roman Salazar
fd60e75303622e5e,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rafa Garcia,Natan Levy
c7df07266a9597d9,KO/TKO,1,1:18,3 Rnd (5-5-5),Tim Means,Ricky Rainey
4b997af9fb321123,Submission,1,2:54,3 Rnd (5-5-5),Gunnar Nelson,Brandon Thatch
8b87b341bcd130ee,KO/TKO,3,0:26,3 Rnd (5-5-5),Edson Barboza,Mike Lullo
f8fce67abe0ab922,Submission,3,1:43,3 Rnd (5-5-5),Jussier Formiga,Ben Nguyen
6bcf5381dd8de85b,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Hatsu Hioki,Bart Palaszewski
4efbd869aa0211d2,KO/TKO,2,2:02,3 Rnd (5-5-5),Curtis Blaydes,Cody East
2ebfb072b178649e,KO/TKO,3,3:14,3 Rnd (5-5-5),George Roop,Josh Grispi
b070b8c2c489d838,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Leon Edwards,Nate Diaz
089dd2e0cc6395fa,Submission,2,3:06,3 Rnd (5-5-5),Nate Diaz,Kurt Pellegrino
3f71ac21472f994c,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marcos Rogerio de Lima,Maurice Greene
55b3724a98c0469c,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Noad Lahat,Steven Siler
85060e6e71ed14e4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lauren Mueller,Shana Dobson
ca0f0a35a1fcb453,KO/TKO,2,2:45,3 Rnd (5-5-5),Eryk Anders,Kyle Daukaus
f0e0effb1b2de6ae,KO/TKO,2,2:53,3 Rnd (5-5-5),Shana Dobson,Ariel Beck
980927e7dcc131c0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jose Aldo,Pedro Munhoz
475a41d83edd47dd,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Aisling Daly,Ericka Almeida
4072abf0b0c179f2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),David Onama,Giga Chikadze
f41c2c82d5117230,Submission,2,3:13,3 Rnd (5-5-5),Allan Nascimento,Cody Durden
0cf7a4593fd44e59,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jared Gordon,Leonardo Santos
cf5f9da861c5e63f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nik Lentz,Hacran Dias
613a288e8819fead,Submission,2,1:20,3 Rnd (5-5-5),Michael Chiesa,Beneil Dariush
fd4d5685c2e207b5,KO/TKO,1,0:41,3 Rnd (5-5-5),Matt Mitrione,Derrick Lewis
a020b5b917c27bb8,KO/TKO,1,2:44,3 Rnd (5-5-5),Jared Cannonier,Cyril Asker
038c472ae3fd7728,KO/TKO,1,1:09,3 Rnd (5-5-5),Shane Carwin,Gabriel Gonzaga
95d46f7a7e72f91c,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Alan Patrick,Damien Brown
b1dee00c3052e65e,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Edson Barboza,Gilbert Melendez
1a21263dc5d866b6,KO/TKO,2,1:31,3 Rnd (5-5-5),Joey Beltran,Rolles Gracie
86a1be10255eea4e,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Lerone Murphy,Josh Emmett
2d80f60b67791b97,KO/TKO,2,2:34,3 Rnd (5-5-5),Cain Velasquez,Denis Stojnic
39d188fa9b95d550,Submission,1,3:56,3 Rnd (5-5-5),Vicente Luque,Tyron Woodley
b9abcce29378e5cc,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anthony Pettis,Donald Cerrone
b87ac039e3b13940,KO/TKO,1,3:06,3 Rnd (5-5-5),Tamires Vidal,Ramona Pascual
351532f2fe6804d1,KO/TKO,1,2:31,5 Rnd (5-5-5-5-5),Rafael Dos Anjos,Benson Henderson
92f569a6d9374b86,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Brad Tavares,Antonio Carlos Junior
e2dc4fb7b5c0ce76,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jamie Mullarkey,Rolando Bedoya
01619207a811ef01,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jan Blachowicz,Jared Cannonier
2f523b757f7f33a2,KO/TKO,1,0:26,3 Rnd (5-5-5),Jose Delgado,Hyder Amil
c5990f9767b16c48,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Karolina Kowalkiewicz,Heather Clark
f09c3d8a26806761,Decision - Split,3,5:00,3 Rnd (5-5-5),Nicolas Dalby,Warlley Alves
e00da416750f75a9,KO/TKO,1,2:52,3 Rnd (5-5-5),Scott Askham,Antonio Dos Santos
1e87e0e4da55c92f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chael Sonnen,Dan Miller
e917559aedf85a98,KO/TKO,1,3:30,3 Rnd (5-5-5),Forrest Griffin,Elvis Sinosic
d460961065f1198b,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Clay Guida,Mac Danzig
5337461354f23b98,Submission,1,3:18,3 Rnd (5-5-5),Abel Trujillo,Tony Sims
225e93ebed9b71b8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Joanderson Brito,Isaac Thomson
90e5169190971647,KO/TKO,1,2:17,3 Rnd (5-5-5),Lorenz Larkin,John Howard
3d3dde60e3d59c1c,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Asu Almabayev,CJ Vergara
b2297232b9310ba5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Wade,Frankie Perez
e301a2c3a415cd33,Submission,1,4:42,3 Rnd (5-5-5),Jonathan Goulet,Paul Georgieff
5ff8463edf8155c0,KO/TKO,1,3:53,3 Rnd (5-5-5),Devonte Smith,Dong Hyun Ma
cc4fcfede19bc196,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),JJ Aldrich,Montana De La Rosa
ce82f34bc14f7af0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tatsuya Kawajiri,Jason Knight
58811a4e36c53b89,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Rhys McKee,Daniel Frunza
57f4aac17f067c11,KO/TKO,2,1:27,5 Rnd (5-5-5-5-5),Matt Hughes,Carlos Newton
fad150a0288efbd7,Decision - Split,3,5:00,3 Rnd (5-5-5),Katlyn Cerminara,Amanda Ribas
8a85dffa80e6c7bd,KO/TKO,1,3:37,3 Rnd (5-5-5),Felicia Spencer,Zarah Fairn
1785c7fb722d3007,KO/TKO,1,4:19,3 Rnd (5-5-5),Joseph Benavidez,Alex Perez
1d127ec120dcb58e,Submission,2,2:04,3 Rnd (5-5-5),Tamdan McCrory,Pete Spratt
a4e592c874e8233f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kenichi Yamamoto,Daiju Takase
43682a646b9b956f,Submission,2,4:21,3 Rnd (5-5-5),Jason Knight,Alex Caceres
ad9ecef413a5b48f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Aiemann Zahabi,Reginaldo Vieira
3808db1e982cb103,KO/TKO,1,1:28,3 Rnd (5-5-5),Alex White,Estevan Payan
