fighter_id,fight_id,W/L,Fighter,Kd,Str,Td,Sub,Event,Method,Round,Time
93fe7332d16c6ad9,,,,,,,,,,,
93fe7332d16c6ad9,,,,,,,,,,,
93fe7332d16c6ad9,9be14b958737f074,loss,"Tom Aaron
          



            Matt Ricehouse","--
            

              --","--
            

              --","--
            

              --","--
            

              --","Strikeforce - Henderson vs. Babalu
          


          
          Dec. 04, 2010",U-DEC,3,5:00
93fe7332d16c6ad9,bcb38a9d29822d3d,win,"Tom Aaron
          



            Eric Steenberg","--
            

              --","--
            

              --","--
            

              --","--
            

              --","Strikeforce - Heavy Artillery
          


          
          May. 15, 2010","SUB
        
        

          Guillotine Choke",1,0:56
15df64c02b6b0fde,,,,,,,,,,,
15df64c02b6b0fde,,,,,,,,,,,
15df64c02b6b0fde,38231925d72d1309,loss,"Danny Abbadi
          



            Jorge Gurgel","0
            

              0","56
            

              58","0
            

              1","0
            

              1","UFC 63: Hughes vs Penn
          


          
          Sep. 23, 2006",S-DEC,3,5:00
15df64c02b6b0fde,387bdcc2ca8709c1,loss,"Danny Abbadi
          



            Kalib Starnes","0
            

              0","3
            

              21","0
            

              1","0
            

              1","The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale
          


          
          Jun. 24, 2006","SUB
        
        

          Rear Naked Choke",1,2:56
59a9d6dac61c2540,,,,,,,,,,,
59a9d6dac61c2540,,,,,,,,,,,
59a9d6dac61c2540,ce99b089400a4ad3,loss,"Nariman Abbasov
          



            Ismael Bonfim","0
            

              1","45
            

              85","0
            

              1","0
            

              0","DWCS 6.7
          


          
          Sep. 06, 2022",U-DEC,3,5:00
4961467134abd8be,,,,,,,,,,,
4961467134abd8be,,,,,,,,,,,
4961467134abd8be,8380f331f1102802,loss,"Darion Abbey
          



            Donte Johnson","0
            

              1","9
            

              15","0
            

              0","0
            

              0","DWCS 9.3
          


          
          Aug. 26, 2025","KO/TKO
        
        

          Punches",1,1:04
b361180739bed4b0,,,,,,,,,,,
b361180739bed4b0,,,,,,,,,,,
b361180739bed4b0,7067ccf701531a60,loss,"David Abbott
          



            Kevin Ferguson","0
            

              2","1
            

              13","0
            

              0","0
            

              0","EliteXC - Street Certified
          


          
          Feb. 16, 2008","KO/TKO
        
        

          Punches",1,0:43
b361180739bed4b0,62de80851ebcc85a,loss,"David Abbott
          



            Paul Buentello","0
            

              1","4
            

              9","0
            

              0","0
            

              0","Strikeforce - Tank vs. Buentello
          


          
          Oct. 07, 2006","KO/TKO
        
        

          Punch",1,0:43
b361180739bed4b0,148ded708e1db0a0,loss,"David Abbott
          



            Hidehiko Yoshida","0
            

              0","2
            

              14","1
            

              0","0
            

              1","PRIDE Final Conflict 2005
          


          
          Aug. 28, 2005","SUB
        
        

          Gi Choke",1,7:40
b361180739bed4b0,d1d33be012417f75,loss,"David Abbott
          



            Wesley Correira","0
            

              1","11
            

              13","0
            

              0","0
            

              0","UFC 45: Revolution
          


          
          Nov. 21, 2003",KO/TKO,1,2:14
b361180739bed4b0,ffe629a5232a878b,loss,"David Abbott
          



            Kimo Leopoldo","0
            

              0","0
            

              1","0
            

              1","0
            

              1","UFC 43: Meltdown
          


          
          Jun. 06, 2003","SUB
        
        

          Arm Triangle",1,1:59
b361180739bed4b0,a85a0831580696ff,loss,"David Abbott
          



            Frank Mir","0
            

              0","1
            

              0","0
            

              0","0
            

              2","UFC 41: Onslaught
          


          
          Feb. 28, 2003","SUB
        
        

          Toe Hold",1,0:46
b361180739bed4b0,f85bbc760000f001,loss,"David Abbott
          



            Pedro Rizzo","0
            

              2","16
            

              24","1
            

              0","0
            

              0","UFC - Ultimate Brazil
          


          
          Oct. 16, 1998","KO/TKO
        
        

          Punch",1,8:07
b361180739bed4b0,1e14e79a477f2357,win,"David Abbott
          



            Hugo Duarte","0
            

              0","11
            

              0","0
            

              1","0
            

              0","UFC 17: Redemption
          


          
          May. 15, 1998","KO/TKO
        
        

          Punches",1,0:43
b361180739bed4b0,764e492b55c0ec40,win,"David Abbott
          



            Yoji Anjo","0
            

              0","13
            

              9","3
            

              0","0
            

              1","UFC - Ultimate Japan
          


          
          Dec. 21, 1997",U-DEC,2,3:00
b361180739bed4b0,b3cafb4e6e1b2ad0,loss,"David Abbott
          



            Maurice Smith","1
            

              0","5
            

              12","0
            

              0","0
            

              1","UFC 15: Collision Course
          



          
          Oct. 17, 1997","SUB
        
        

          Other",1,8:08
b361180739bed4b0,0e16795e385e76a7,loss,"David Abbott
          



            Vitor Belfort","0
            

              0","2
            

              15","0
            

              1","0
            

              0","UFC 13: The Ultimate Force
          


          
          May. 30, 1997","KO/TKO
        
        

          Punches",1,0:52
b361180739bed4b0,d595d2c36ddba8ee,loss,"David Abbott
          



            Don Frye","0
            

              0","13
            

              6","0
            

              0","0
            

              2","UFC - Ultimate Ultimate '96
          



          
          Dec. 07, 1996","SUB
        
        

          Rear Naked Choke",1,1:22
