fighter_id,record,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Height:,Weight:,Reach:,STANCE:,DOB:
93fe7332d16c6ad9,5-3-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,155 lbs.,--,,"Jul 13, 1978"
15df64c02b6b0fde,4-6-0,3.29,38%,4.41,57%,,0.00,0%,77%,0.0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
59a9d6dac61c2540,28-4-0,3.00,20%,5.67,46%,,0.00,0%,66%,0.0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
4961467134abd8be,9-5-0,8.44,50%,14.06,28%,,0.00,0%,0%,0.0,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993"
b361180739bed4b0,10-15-0,1.35,30%,3.55,38%,,1.07,33%,66%,0.0,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
3329d692aea4dc28,7-1-0 (1 NC),4.27,55%,3.67,51%,,3.25,65%,100%,0.0,"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993"
8f3837b4c06f3d1e,8-0-0 (1 NC),5.41,57%,6.89,48%,,0.00,0%,0%,0.0,"5' 3""",115 lbs.,"66""",Orthodox,"May 15, 2004"
841695e02c99a521,9-1-1,3.28,44%,4.49,46%,,1.65,41%,83%,0.3,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
e047d3b541afd4a7,20-3-0,2.56,42%,2.42,51%,,2.07,33%,100%,0.0,"5' 8""",170 lbs.,"73""",Orthodox,"Feb 02, 1997"
2f5cbecbbe18bac4,20-8-0,2.41,44%,3.02,55%,,1.01,23%,45%,0.1,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
c0ed7b208197e8de,8-15-3 (1 NC),1.71,36%,3.11,63%,,0.00,0%,33%,0.0,"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970"
5140122c3eecd307,6-2-0,3.80,33%,4.49,56%,,0.33,50%,0%,0.0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
c9f6385af6df66d7,10-4-0,2.80,55%,3.15,48%,,3.47,57%,50%,1.3,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978"
