fight_id,Fighter,KD_x,Sig. str._x,Sig. str. %_x,Total str._x,Td_x,Td %_x,Sub. att_x,Rev._x,Ctrl_x,Round,KD_y,Sig. str._y,Sig. str. %_y,Total str._y,Td_y,Td %_y,Sub. att_y,Rev._y,Ctrl_y,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
e761c5009c09b295,Alexandre Pantoja,0,32 of 52,61%,33 of 53,3 of 7,42%,1,0,2:46,0,0,32 of 52,61%,33 of 53,3 of 7,42%,1,0,2:46,,,,,,,
e761c5009c09b295,Alexandre Pantoja,0,31 of 49,63%,32 of 50,2 of 4,50%,0,0,1:00,1,,,63%,,,,,,,31 of 49,14 of 30,5 of 5,12 of 14,29 of 47,2 of 2,0 of 0
e761c5009c09b295,Alexandre Pantoja,0,1 of 3,33%,1 of 3,1 of 3,33%,1,0,1:46,2,,,33%,,,,,,,1 of 3,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
e761c5009c09b295,Kai Asakura,0,17 of 29,58%,30 of 44,0 of 0,---,0,0,0:24,0,0,17 of 29,58%,30 of 44,0 of 0,---,0,0,0:24,,,,,,,
e761c5009c09b295,Kai Asakura,0,15 of 26,57%,27 of 40,0 of 0,---,0,0,0:24,1,,,57%,,,,,,,15 of 26,8 of 17,5 of 6,2 of 3,15 of 25,0 of 1,0 of 0
e761c5009c09b295,Kai Asakura,0,2 of 3,66%,3 of 4,0 of 0,---,0,0,0:00,2,,,66%,,,,,,,2 of 3,2 of 3,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0
c409c3a5eda764ba,Mike Swick,0,5 of 12,41%,6 of 13,0 of 0,---,1,0,0:10,0,0,5 of 12,41%,6 of 13,0 of 0,---,1,0,0:10,,,,,,,
c409c3a5eda764ba,Mike Swick,0,5 of 12,41%,6 of 13,0 of 0,---,1,0,0:10,1,,,41%,,,,,,,5 of 12,1 of 7,2 of 2,2 of 3,2 of 9,3 of 3,0 of 0
c409c3a5eda764ba,Joe Riggs,0,1 of 4,25%,2 of 5,0 of 2,0%,0,0,0:27,0,0,1 of 4,25%,2 of 5,0 of 2,0%,0,0,0:27,,,,,,,
c409c3a5eda764ba,Joe Riggs,0,1 of 4,25%,2 of 5,0 of 2,0%,0,0,0:27,1,,,25%,,,,,,,1 of 4,0 of 3,0 of 0,1 of 1,0 of 3,1 of 1,0 of 0
