fight_id,Fighter,KD_x,Sig. str._x,Sig. str. %_x,Total str._x,Td_x,Td %_x,Sub. att_x,Rev._x,Ctrl_x,Round,KD_y,Sig. str._y,Sig. str. %_y,Total str._y,Td_y,Td %_y,Sub. att_y,Rev._y,Ctrl_y,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
1fcb50100d0e6bc6,Nick Klein,0,1 of 2,50%,1 of 6,1 of 1,100%,1,0,0:27,0,0,1 of 2,50%,1 of 6,1 of 1,100%,1,0,0:27,,,,,,,
1fcb50100d0e6bc6,Nick Klein,0,1 of 2,50%,1 of 6,1 of 1,100%,1,0,0:27,1,,,50%,,,,,,,1 of 2,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0
1fcb50100d0e6bc6,Heraldo Souza,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,0,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,,,,,,,
1fcb50100d0e6bc6,Heraldo Souza,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1,,,33%,,,,,,,1 of 3,0 of 1,1 of 2,0 of 0,1 of 3,0 of 0,0 of 0
971ed760d0425fab,Mark Kerr,0,2 of 4,50%,10 of 12,1 of 1,100%,1,0,--,0,0,2 of 4,50%,10 of 12,1 of 1,100%,1,0,--,,,,,,,
971ed760d0425fab,Mark Kerr,0,2 of 4,50%,10 of 12,1 of 1,100%,1,0,--,1,,,50%,,,,,,,2 of 4,0 of 1,0 of 0,2 of 3,2 of 3,0 of 0,0 of 1
971ed760d0425fab,Igor Borisov,0,0 of 2,0%,2 of 4,0 of 0,---,0,0,--,0,0,0 of 2,0%,2 of 4,0 of 0,---,0,0,--,,,,,,,
971ed760d0425fab,Igor Borisov,0,0 of 2,0%,2 of 4,0 of 0,---,0,0,--,1,,,0%,,,,,,,0 of 2,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
acbe77c01b8f753a,Daisuke Nakamura,0,2 of 5,40%,2 of 5,0 of 0,---,3,0,--,0,0,2 of 5,40%,2 of 5,0 of 0,---,3,0,--,,,,,,,
acbe77c01b8f753a,Daisuke Nakamura,0,2 of 5,40%,2 of 5,0 of 0,---,3,0,--,1,,,40%,,,,,,,2 of 5,1 of 4,0 of 0,1 of 1,2 of 5,0 of 0,0 of 0
