fight_id,round_finished,winner_name,loser_name,round_total,round_time_sec,fighter_id,event,stoppage_time_sec,opponent_name,fighter_name,method_type,method_specific,date
e761c5009c09b295,2,Alexandre Pantoja,Kai Asakura,5,300,d33da8a3d82bdb62,UFC 310: Pantoja vs. Asakura,125,Alexandre Pantoja,Kai Asakura,SUB,Rear Naked Choke,2024-12-07
e761c5009c09b295,2,Alexandre Pantoja,Kai Asakura,5,300,a0f0004aadf10b71,UFC 310: Pantoja vs. Asakura,125,Kai Asakura,Alexandre Pantoja,SUB,Rear Naked Choke,2024-12-07
c409c3a5eda764ba,1,Mike Swick,Joe Riggs,3,300,d512d9f204059f57,UFC 60: Hughes vs Gracie,139,Mike Swick,Joe Riggs,SUB,Guillotine Choke,2006-05-27
c409c3a5eda764ba,1,Mike Swick,Joe Riggs,3,300,9fe85152f351e737,UFC 60: Hughes vs Gracie,139,Joe Riggs,Mike Swick,SUB,Guillotine Choke,2006-05-27
3a94bf34e62ae5fd,1,Jacare Souza,Derek Brunson,5,300,b1a3e0aca758b322,UFC Fight Night: Jacare vs. Brunson 2,230,Jacare Souza,Derek Brunson,KO/TKO,Kick,2018-01-27
3a94bf34e62ae5fd,1,Jacare Souza,Derek Brunson,5,300,7a703c565ccaa18f,UFC Fight Night: Jacare vs. Brunson 2,230,Derek Brunson,Jacare Souza,KO/TKO,Kick,2018-01-27
d72f9b3ac742a9e3,3,TJ Brown,Kai Kamaka III,3,300,d31cbcdd7d69536d,UFC Fight Night: Reyes vs. Prochazka,300,Kai Kamaka III,TJ Brown,S-DEC,,2021-05-01
d72f9b3ac742a9e3,3,TJ Brown,Kai Kamaka III,3,300,eee0ef3e2b14816b,UFC Fight Night: Reyes vs. Prochazka,300,TJ Brown,Kai Kamaka III,S-DEC,,2021-05-01
760b5b16b4931a77,3,Roxanne Modafferi,Maycee Barber,3,300,6a740daf1b279661,UFC 246: McGregor vs. Cowboy,300,Roxanne Modafferi,Maycee Barber,U-DEC,,2020-01-18
760b5b16b4931a77,3,Roxanne Modafferi,Maycee Barber,3,300,4498b382c65a7faa,UFC 246: McGregor vs. Cowboy,300,Maycee Barber,Roxanne Modafferi,U-DEC,,2020-01-18
32a8f38bd1d46e3e,2,Diego Ferreira,Anthony Pettis,3,300,f53d4f21d1b5f2dc,UFC 246: McGregor vs. Cowboy,106,Anthony Pettis,Diego Ferreira,SUB,Rear Naked Choke,2020-01-18
32a8f38bd1d46e3e,2,Diego Ferreira,Anthony Pettis,3,300,cbb682f5fcc44bfc,UFC 246: McGregor vs. Cowboy,106,Diego Ferreira,Anthony Pettis,SUB,Rear Naked Choke,2020-01-18
6c79db79da9ae874,1,Guido Cannetti,Randy Costa,3,300,d05412b513b19621,UFC Fight Night: Dern vs. Yan,64,Randy Costa,Guido Cannetti,SUB,Rear Naked Choke,2022-10-01
6c79db79da9ae874,1,Guido Cannetti,Randy Costa,3,300,325ad0dd9126d3df,UFC Fight Night: Dern vs. Yan,64,Guido Cannetti,Randy Costa,SUB,Rear Naked Choke,2022-10-01
8c124a6196e39ad8,3,Mark Munoz,Tim Boetsch,3,300,c80095f6092271a7,UFC 162: Silva vs Weidman,300,Mark Munoz,Tim Boetsch,U-DEC,,2013-07-06
8c124a6196e39ad8,3,Mark Munoz,Tim Boetsch,3,300,179f1948dc234f1f,UFC 162: Silva vs Weidman,300,Tim Boetsch,Mark Munoz,U-DEC,,2013-07-06
bb9020ac324fb706,1,Eddie Alvarez,Rafael Dos Anjos,5,300,33a331684283900f,UFC Fight Night: Dos Anjos vs. Alvarez,229,Rafael Dos Anjos,Eddie Alvarez,KO/TKO,Punches,2016-07-07
bb9020ac324fb706,1,Eddie Alvarez,Rafael Dos Anjos,5,300,6a2f7c151031653d,UFC Fight Night: Dos Anjos vs. Alvarez,229,Eddie Alvarez,Rafael Dos Anjos,KO/TKO,Punches,2016-07-07
731a3120fdffa44c,2,Brandon Vera,Michael Patt,3,300,83d0de122f2f9664,UFC 96: Jackson vs Jardine,87,Brandon Vera,Michael Patt,KO/TKO,Kicks,2009-03-07
731a3120fdffa44c,2,Brandon Vera,Michael Patt,3,300,fa315e6c77eee106,UFC 96: Jackson vs Jardine,87,Michael Patt,Brandon Vera,KO/TKO,Kicks,2009-03-07
9b10db4499b211b7,1,Luke Rockhold,Tim Boetsch,3,300,c80095f6092271a7,UFC 172: Jones vs Teixeira,128,Luke Rockhold,Tim Boetsch,SUB,Kimura,2014-04-26
9b10db4499b211b7,1,Luke Rockhold,Tim Boetsch,3,300,00e11b5c8b7bfeeb,UFC 172: Jones vs Teixeira,128,Tim Boetsch,Luke Rockhold,SUB,Kimura,2014-04-26
c92a4fe402579c49,3,Chris Wilson,Steve Bruno,3,300,2f3f12002564bb55,UFC 87: Seek And Destroy,300,Chris Wilson,Steve Bruno,U-DEC,,2008-08-09
c92a4fe402579c49,3,Chris Wilson,Steve Bruno,3,300,a56607a451e4c70d,UFC 87: Seek And Destroy,300,Steve Bruno,Chris Wilson,U-DEC,,2008-08-09
bfe4950b3de83e9c,1,Iwo Baraniewski,Junior Tafa,3,300,1c23ec2f1b71be40,UFC Fight Night: Muhammad vs. Bonfim,85,Junior Tafa,Iwo Baraniewski,KO/TKO,Kick,2026-06-06
bfe4950b3de83e9c,1,Iwo Baraniewski,Junior Tafa,3,300,c15fa95b9a12fde4,UFC Fight Night: Muhammad vs. Bonfim,85,Iwo Baraniewski,Junior Tafa,KO/TKO,Kick,2026-06-06
357781ff34a3d39f,2,James Moontasri,Cody Pfister,3,300,c06a9b48d4132c8e,UFC Fight Night: Henderson vs Thatch,109,Cody Pfister,James Moontasri,SUB,Rear Naked Choke,2015-02-14
357781ff34a3d39f,2,James Moontasri,Cody Pfister,3,300,5904b0b38dc6718d,UFC Fight Night: Henderson vs Thatch,109,James Moontasri,Cody Pfister,SUB,Rear Naked Choke,2015-02-14
df42fd9af4740d24,3,Jeremy Stephens,Marcus Davis,3,300,b7d524c77c27389b,UFC 125: Resolution,153,Jeremy Stephens,Marcus Davis,KO/TKO,Punch,2011-01-01
df42fd9af4740d24,3,Jeremy Stephens,Marcus Davis,3,300,18968f97ad34f15c,UFC 125: Resolution,153,Marcus Davis,Jeremy Stephens,KO/TKO,Punch,2011-01-01
784a57385d0e87ff,3,Jake Matthews,Johnny Case,3,300,1f4b04a926ef1287,UFC Fight Night: Hunt vs Mir,285,Jake Matthews,Johnny Case,SUB,Rear Naked Choke,2016-03-19
