fighter,prior_to_date,rating,rating_deviation,volatility
AJ Cunningham,2023-09-12,1500.0,350.0,0.06
AJ Cunningham,2024-03-02,1331.0618050267578,275.8612998303482,0.05999999902988807
AJ Cunningham,2025-03-15,1299.8318711777665,254.84270067662416,0.059999967280978075
AJ Dobson,2021-09-21,1500.0,350.0,0.06
AJ Dobson,2022-02-12,1662.3108949760367,290.3189646746798,0.059999999975475136
AJ Dobson,2022-10-22,1503.4384672326144,243.49077486604781,0.059999999975475136
AJ Dobson,2023-08-12,1440.2346176714861,215.60859495011454,0.05999995354654209
AJ Dobson,2024-03-23,1544.3260589129502,189.62193271754825,0.05999995354654209
AJ Fletcher,2021-08-31,1500.0,350.0,0.06
AJ Fletcher,2022-03-12,1662.3108949760367,290.3189646746798,0.059999999975475136
AJ Fletcher,2022-08-20,1538.0164022574393,237.48756986862793,0.059999999975475136
AJ Fletcher,2023-02-18,1380.6816594765396,216.40823994899546,0.060000123572640084
AJ Fletcher,2023-09-23,1475.7803106138654,200.71332122630557,0.060000123572640084
Aalon Cruz,2019-07-30,1500.0,350.0,0.06
Aalon Cruz,2020-02-29,1662.3108949760367,290.3189646746798,0.059999999975475136
Aalon Cruz,2021-03-06,1497.4508529459429,256.34517489026445,0.060000036336865674
Aaron Brink,2000-11-17,1500.0,350.0,0.06
Aaron Jeffery,2019-07-16,1500.0,350.0,0.06
Aaron Jeffery,2021-09-28,1337.6891050239633,290.3189646746798,0.059999999975475136
Aaron Phillips,2014-05-24,1500.0,350.0,0.06
Aaron Phillips,2014-08-23,1283.982504752468,265.67729012872627,0.060000054974428396
Aaron Phillips,2020-07-15,1174.9637159266122,231.05987846981088,0.060000054974428396
Aaron Phillips,2023-04-15,1149.7080722106655,219.99069523735733,0.060000054974428396
Aaron Pico,2025-08-16,1500.0,350.0,0.06
Aaron Pico,2026-04-11,1474.623383580872,326.8923713657602,0.06
Aaron Riley,2002-05-10,1500.0,350.0,0.06
Aaron Riley,2005-05-22,1337.6891050239633,290.3189646746798,0.059999999975475136
Aaron Riley,2006-01-16,1502.5491470540571,256.34517489026445,0.060000036336865674
Aaron Riley,2008-11-15,1428.2161429179555,228.23326655227993,0.060000003999107446
Aaron Riley,2009-03-07,1536.8640724719105,198.37720234161046,0.060000003999107446
Aaron Riley,2009-08-08,1483.763686521666,184.0538306184609,0.060000003999107446
Aaron Riley,2009-11-14,1591.9951177931214,174.06329173373072,0.06000015433817871
Aaron Riley,2010-05-29,1543.5925469124504,163.80197231339054,0.06000015433817871
Aaron Riley,2011-09-24,1578.4644053146917,155.54244627501566,0.0600001192582428
Aaron Riley,2013-07-27,1540.1065069249228,148.26454494551754,0.0600001192582428
Aaron Rosa,2009-05-15,1500.0,350.0,0.06
Aaron Rosa,2009-11-20,1626.1904161522161,268.16937975817365,0.05999995612949394
Aaron Rosa,2011-06-11,1552.9599697845804,233.59764768263244,0.05999991380036624
Aaron Rosa,2011-11-12,1451.8193049034494,202.86251333138884,0.05999991260739457
Aaron Rosa,2012-03-02,1527.1950464011588,189.27927815438764,0.05999991260739457
Aaron Simpson,2008-11-05,1500.0,350.0,0.06
Aaron Simpson,2009-04-01,1662.3108949760367,290.3189646746798,0.059999999975475136
Aaron Simpson,2009-08-29,1746.9508256649797,248.51294607032338,0.05999996080820428
Aaron Simpson,2010-01-11,1819.141227222327,213.6463201844227,0.05999991346745868
Aaron Simpson,2010-06-19,1899.987104176303,192.1748345226957,0.05999991346745868
Aaron Simpson,2010-11-20,1776.3447124781324,175.1830452807647,0.05999993931886872
Aaron Simpson,2011-03-26,1707.5732649908264,159.8710713683075,0.05999993931886872
Aaron Simpson,2011-07-02,1746.0529119593316,150.60280253027219,0.059999902024246946
Aaron Simpson,2011-10-08,1794.3213575991613,142.53234232850164,0.059999902024246946
Aaron Simpson,2012-02-15,1816.770897697973,136.3816998425758,0.05999985826278102
Aaron Simpson,2012-07-11,1769.277937664625,131.48371184910903,0.05999986788419562
Aaron Simpson,2012-10-05,1782.9178952806328,128.83108335455105,0.059999837717845284
Aaron Tau,2024-09-17,1500.0,350.0,0.06
Aaron Tau,2025-05-22,1337.6891050239633,290.3189646746798,0.059999999975475136
Aaron Tau,2025-08-22,1502.5491470540571,256.34517489026445,0.060000036336865674
Aaron Wetherspoon,2007-06-22,1500.0,350.0,0.06
Aaron Wilkinson,2010-12-04,1500.0,350.0,0.06
Abdellah Er-Ramy,2024-10-01,1500.0,350.0,0.06
Abdul Rakhman Yakhyaev,2025-08-26,1500.0,350.0,0.06
Abdul Rakhman Yakhyaev,2025-11-22,1662.3108949760367,290.3189646746798,0.059999999975475136
Abdul Rakhman Yakhyaev,2026-04-04,1703.1344458105364,264.6320378453834,0.05999996739054544
Abdul Rakhman Yakhyaev,2026-06-27,1788.4022341310554,222.95752878038863,0.059999921230863625
Abdul Razak Alhassan,2016-11-19,1500.0,350.0,0.06
Abdul Razak Alhassan,2017-05-28,1662.3108949760367,290.3189646746798,0.059999999975475136
Abdul Razak Alhassan,2017-12-02,1531.0517574085075,232.59440239499182,0.059999999975475136
Abdul Razak Alhassan,2018-01-20,1600.3213300588257,209.27269099918968,0.05999996896694865
Abdul Razak Alhassan,2018-09-08,1637.0630006189465,194.93764073983175,0.05999992717065698
Abdul Razak Alhassan,2020-07-15,1759.5898359315759,179.12014419422079,0.06000005362283063
Abdul Razak Alhassan,2020-11-14,1676.7315662795652,171.54967711673666,0.06000010449543148
Abdul Razak Alhassan,2021-04-17,1641.117087990274,162.71688916310174,0.06000007080331744
Abdul Razak Alhassan,2021-08-28,1556.7216810254674,156.75943023954724,0.060000195064034076
Abdul Razak Alhassan,2022-02-19,1614.5059246408157,145.29925951600023,0.060000195064034076
Abdul Razak Alhassan,2023-01-14,1572.2651515231926,137.04160769445278,0.060000195064034076
Abdul Razak Alhassan,2023-10-07,1616.1919411141444,132.1494962403933,0.060000195064034076
Abdul Razak Alhassan,2025-01-11,1586.0572703670412,126.50683454807219,0.06000016023895211
Abdul-Kareem Al-Selwady,2023-08-15,1500.0,350.0,0.06
Abdul-Kareem Al-Selwady,2024-03-02,1662.3108949760367,290.3189646746798,0.059999999975475136
Abdul-Kareem Al-Selwady,2026-03-21,1510.8825311516837,242.67484671676465,0.059999999975475136
Abdul-Kerim Edilov,2017-09-02,1500.0,350.0,0.06
Abel Cullum,2009-03-08,1500.0,350.0,0.06
Abel Cullum,2009-05-26,1662.3108949760367,290.3189646746798,0.059999999975475136
Abel Cullum,2011-09-24,1445.459639483669,244.96129911063323,0.0600000986021678
Abel Trujillo,2012-12-08,1500.0,350.0,0.06
Abel Trujillo,2013-05-25,1659.8087380189968,272.2478776265001,0.06
Abel Trujillo,2013-12-14,1608.4809844164006,242.91374817755732,0.05999995806369195
Abel Trujillo,2014-02-01,1676.726125198413,212.0681341275185,0.05999990933348882
Abel Trujillo,2014-12-06,1792.184944422568,185.1952631542975,0.059999940677269714
Abel Trujillo,2015-11-07,1730.4676839564063,167.38562144918032,0.05999990366734679
Abel Trujillo,2016-01-02,1803.8764761393986,152.2945143201004,0.05999990366734679
Abel Trujillo,2016-05-29,1823.1885766588607,147.12521900759188,0.05999986997828839
Abel Trujillo,2017-02-04,1840.930171270868,143.52824749026473,0.05999986997828839
Abel Trujillo,2017-12-16,1799.1623600900161,135.27894967799475,0.05999983823868636
Abner Lloveras,2015-12-11,1500.0,350.0,0.06
Abongo Humphrey,2009-04-11,1500.0,350.0,0.06
Abongo Humphrey,2010-03-26,1442.0070354945522,309.20969899911523,0.059999968216361985
Abongo Humphrey,2010-07-23,1593.668327459137,266.21926067011196,0.059999968216361985
Abongo Humphrey,2011-01-07,1386.1552757240183,232.0588421341734,0.060000123037180025
Abu Azaitar,2018-07-22,1500.0,350.0,0.06
Abu Azaitar,2021-03-27,1706.1429268215427,263.3622702353775,0.06000004212046703
Abu Azaitar,2023-10-21,1436.0600284372433,248.93070041727142,0.060000285899459084
Abubakar Nurmagomedov,2019-11-09,1500.0,350.0,0.06
Abubakar Nurmagomedov,2021-03-27,1252.784295549721,280.3972102745934,0.060000087343719456
Abubakar Nurmagomedov,2022-10-22,1422.6060735933029,243.21608662893996,0.06000011806325294
Abubakar Nurmagomedov,2023-06-03,1555.868582113373,214.76466532287347,0.06000017078427944
Abus Magomedov,2022-09-03,1500.0,350.0,0.06
Abus Magomedov,2023-07-01,1683.662345976252,263.80121330157164,0.06
Abus Magomedov,2023-11-04,1633.6797686109126,231.9644383970792,0.0599999499604565
Abus Magomedov,2024-05-18,1600.8682504518924,214.84561649993546,0.059999908914465036
Abus Magomedov,2024-10-26,1728.356487409087,188.4352811093339,0.05999999400791592
Abus Magomedov,2025-04-26,1818.4370174565845,171.3758355877593,0.06000000900752431
Abus Magomedov,2025-10-04,1907.4078510248482,157.6252569087931,0.06000002385342225
Abus Magomedov,2026-06-27,1843.2269244429613,146.16323332146789,0.06000002385342225
Acacio Dos Santos,2022-07-26,1500.0,350.0,0.06
Achilles Estremadura,2021-11-02,1500.0,350.0,0.06
Achmed Labasanov,2002-06-23,1500.0,350.0,0.06
Adam Antolin,2017-08-29,1500.0,350.0,0.06
Adam Bramhald,2024-08-27,1500.0,350.0,0.06
Adam Cella,2013-04-06,1500.0,350.0,0.06
Adam Fugitt,2022-07-30,1500.0,350.0,0.06
Adam Fugitt,2023-02-04,1426.2492812056207,297.07571622543065,0.05999995932573826
Adam Fugitt,2023-06-10,1634.7389730850268,259.5719382004533,0.06000005385649713
Adam Fugitt,2024-06-15,1570.3773169050028,227.9970871245,0.06000000824097484
Adam Fugitt,2025-07-19,1635.8326603902076,203.40937486885963,0.05999996768857323
Adam Fugitt,2026-01-24,1565.8971562422616,187.08061918523998,0.05999996768857323
Adam Livingston,2025-09-16,1500.0,350.0,0.06
Adam Lynn,2007-09-29,1500.0,350.0,0.06
Adam Milstead,2016-05-29,1500.0,350.0,0.06
Adam Milstead,2018-03-03,1600.8469415376771,289.2562617154198,0.059999961515264925
Adam Milstead,2018-12-15,1529.2548491970474,251.12912825852086,0.059999919172923105
Adam Wieczorek,2017-11-18,1500.0,350.0,0.06
Adam Wieczorek,2018-04-14,1619.9736821259312,266.34226545502116,0.059999949397697726
Adam Wieczorek,2018-11-03,1744.580246002492,230.30233715135168,0.059999949397697726
Adam Yandiev,2018-09-15,1500.0,350.0,0.06
Adlan Amagov,2011-11-18,1500.0,350.0,0.06
Adlan Amagov,2012-01-07,1662.3108949760367,290.3189646746798,0.059999999975475136
Adlan Amagov,2012-08-18,1539.835659529231,229.10370379406132,0.05999996369472479
Adlan Amagov,2013-04-06,1577.1130782813254,214.35351140492935,0.059999929415547375
Adlan Amagov,2013-10-19,1658.4680600538377,193.67567459001035,0.059999929415547375
Adrian Diaz,2017-08-15,1500.0,350.0,0.06
Adrian Luna Martinetti,2025-10-07,1500.0,350.0,0.06
Adrian Luna Martinetti,2026-04-25,1662.3108949760367,290.3189646746798,0.059999999975475136
Adrian Serrano,2000-06-09,1500.0,350.0,0.06
Adrian Yanez,2020-08-11,1500.0,350.0,0.06
Adrian Yanez,2020-10-31,1662.3108949760367,290.3189646746798,0.059999999975475136
Adrian Yanez,2021-03-20,1750.5421139054627,256.3451747345476,0.059999999975475136
Adrian Yanez,2021-07-24,1818.1806510344854,226.0229792077688,0.059999961238371424
Adrian Yanez,2021-11-20,1861.0775026092372,206.9792079195787,0.059999924663695074
Adrian Yanez,2022-06-18,1891.9550631823215,192.75875015223178,0.05999988942072779
Adrian Yanez,2023-04-08,1920.5139240980936,181.93391095795678,0.059999858207297536
Adrian Yanez,2023-10-14,1837.0240259890984,163.518386186647,0.059999858207297536
Adrian Yanez,2024-05-18,1777.2218319272474,149.92696939019243,0.0599998279574184
Adrian Yanez,2024-12-14,1792.5498078753744,145.50280967323425,0.05999979405998517
Adrian Yanez,2026-03-28,1756.6732534593311,137.53716049253168,0.05999975605071933
Adriano Martins,2008-09-23,1500.0,350.0,0.06
Adriano Martins,2013-11-09,1169.3487865219142,295.9912289628822,0.06000018033108631
Adriano Martins,2014-01-25,1527.2089264015622,277.79707721043445,0.06000041629416353
Adriano Martins,2014-07-06,1485.4417234376967,248.3617925247767,0.06000037018439705
Adriano Martins,2015-02-22,1584.9806456437188,224.23094768043373,0.06000037018439705
Adriano Martins,2015-10-03,1761.407139409771,207.40148141398083,0.060000578737153046
Adriano Martins,2016-10-08,1822.5149532599887,190.7690840573658,0.060000578737153046
Adriano Martins,2017-09-09,1776.8571693999231,175.44675344016412,0.060000539516462656
Adriano Santos,1998-10-16,1500.0,350.0,0.06
Agulali,2025-05-22,1500.0,350.0,0.06
Agulali,2025-08-22,1662.3108949760367,290.3189646746798,0.059999999975475136
Ahejiang Ailinuer,2026-05-28,1500.0,350.0,0.06
Ahmad Hassanzada,2022-08-16,1500.0,350.0,0.06
Ahmad Hassanzada,2024-09-17,1337.6891050239633,290.3189646746798,0.059999999975475136
Aiemann Zahabi,2017-02-19,1500.0,350.0,0.06
Aiemann Zahabi,2017-11-04,1702.546812345676,276.25580497959584,0.06000003436196432
Aiemann Zahabi,2019-05-04,1574.5588956718004,236.29274046248628,0.06000003436196432
Aiemann Zahabi,2021-02-20,1414.600796212589,216.78483125792823,0.06000016269735552
Aiemann Zahabi,2022-07-09,1541.659082463345,201.3201421125741,0.06000026105638813
Aiemann Zahabi,2023-06-10,1610.6241247650478,183.94584799546666,0.06000026105638813
Aiemann Zahabi,2024-03-02,1653.4016993416237,170.27949493744688,0.060000214970239364
Aiemann Zahabi,2024-11-02,1753.1527277926086,161.2340815801398,0.06000035443011192
Aiemann Zahabi,2025-05-10,1825.6599054096107,148.07116562610915,0.06000035602522512
Aiemann Zahabi,2025-10-18,1910.1323557091828,140.255422963152,0.06000042087659468
Aiemann Zahabi,2026-06-14,1954.096232733576,131.11422589055948,0.06000038668938768
Ailin Perez,2022-09-03,1500.0,350.0,0.06
Ailin Perez,2023-07-15,1344.422739515561,265.06845790518264,0.06
Ailin Perez,2023-11-18,1491.432049323869,219.52505847157784,0.06
Ailin Perez,2024-06-01,1555.0607234234126,193.23120968551638,0.059999947860609096
Ailin Perez,2024-09-28,1632.706433643438,172.93834027450245,0.059999947860609096
Ailin Perez,2025-01-18,1703.403412919903,163.2414381808528,0.059999983607181215
Ailin Perez,2026-02-28,1768.0169361422872,149.99161014260957,0.059999983607181215
Aisling Daly,2014-12-12,1500.0,350.0,0.06
Aisling Daly,2015-04-25,1662.3108949760367,290.3189646746798,0.059999999975475136
Aisling Daly,2015-10-24,1446.244823065519,256.3227833982638,0.06000009889447505
Akbarh Arreola,2014-07-26,1500.0,350.0,0.06
Akbarh Arreola,2014-11-22,1337.6891050239633,290.3189646746798,0.059999999975475136
