fight_id,event,date,fighter_1,fighter_1_id,fighter_2,fighter_2_id
1162a74e3604c488,UFC 329: McGregor vs. Holloway 2,2026-07-11,Ryan Gandra,e463ce0a2ca474f4,Zach Reese,23dec7c47cb418f8
a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,887961364be5ceb3,Terrance McKinney,809bd1a871491508
989760fa75321d69,UFC 329: McGregor vs. Holloway 2,2026-07-11,Conor McGregor,f4c49976c75c5ab2,Max Holloway,150ff4cc642270b9
1b6a3b0d27654d3e,UFC 329: McGregor vs. Holloway 2,2026-07-11,Alessandro Costa,3fa97913cfd205d3,Cody Durden,7f6ed67d3ed3c036
130b325610c54a64,UFC 329: McGregor vs. Holloway 2,2026-07-11,Benoit Saint Denis,c2299ec916bc7c56,Paddy Pimblett,7826923b47f8d72a
7765e5e779dd7dc9,UFC 329: McGregor vs. Holloway 2,2026-07-11,Nikita Krylov,1091d4d957141094,Robert Whittaker,e1147d3d2dabe1ce
930317fde9dbc55e,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,b1de86d835638319,Kai Kamaka III,eee0ef3e2b14816b
118c25bda9392140,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,f7e856a73c96048e,Elisha Ellison,87e4a3a5080ee7ce
e9f389ba3a1e33c4,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,d8c7c61b176e3994,Adrian Yanez,0232cabbc30a2372
9e00ee7644774e18,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,a09ed60aa67a3f67,John Garza,a54b961a1f8be1d5
e84c3f1f9a33fa90,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,68d4a891e5cf2029,Wang Cong,2997e7fe3c9d3d4a
b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,fdd22e895a70e4a8,Cesar Almeida,64d47ef881a437a4
a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,6e15f63b6c2e2c15,Lone'er Kavanagh,bb2c3c3a466224af
c572daedf2012a49,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cory Sandhagen,65f09bacd3957381,Mario Bautista,bc711b6dd95c1af6
9e525f939fba3e73,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Ezra Elliott,b852ad2b35354fcb,Damien Anderson,df619b9a86ce0a9a
c64c6ba6eb1e1d06,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Tommy McMillen,6b0a6def604de298,Alberto Montes,a112097ad877a48f
f2eb569176e46edf,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Jean-Paul Lebosnoyani,a3dda21be645be93,Seokhyeon Ko,4a07b1988477502c
46d800ce45fdd3e6,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Levi Rodrigues Jr.,9ac4e43ed56429ed,Felipe Franco,e564146b9cf6dbef
3bd159c1bed14700,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Austin Bashi,d3f89fa685bd8420,Jose Delgado,7d6ceff6747f2de2
701c97405da76603,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Dricus Du Plessis,0d7b51c9d2649a6e,Kamaru Usman,f1b2aa7853d1ed6e
e05155c1b5c2dc74,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,RJ Harris,e03187ec8b5b6abc,Alvin Hines,ab2a4b5e04dc5fe9
f2abca7379982d4f,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Chase Hooper,971246648e162f0d,Mitch Ramirez,e99eb0ef25885de5
410e6b9e01660b35,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Alden Coria,5e9ca8dd7d783a75,Stewart Nicoll,2bd98ab77a8daa75
4eff5a845db17572,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Jared Cannonier,13a0275fa13c4d26,Christian Leroy Duncan,a93f94c923c3a9cb
52ddf20a10890b41,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Tabatha Ricci,d25240135aee03e5,Fatima Kline,745fa7b605f8e2da
307ea95ad7ebe466,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,Anna Melisano,40a7ec5d1ad6ffa8,Dione Barbosa,27b388f0aab49780
