,fighter,date,rating,rating_deviation,volatility,weight,stance,dob,all_time_min,sig_str_pct_norm,td_pct_norm,sub_att_norm,rev_norm,sig_str_landed_norm,sig_str_attempted_norm,total_str_landed_norm,total_str_attempted_norm,td_landed_norm,td_attempted_norm,head_landed_norm,head_attempted_norm,body_landed_norm,body_attempted_norm,leg_landed_norm,leg_attempted_norm,distance_landed_norm,distance_attempted_norm,clinch_landed_norm,clinch_attempted_norm,ground_landed_norm,ground_attempted_norm,ctrl_secs_norm,wins,losses,reach_z,height_inches_z,stance_Orthodox,stance_Southpaw,stance_Switch,stance_nan,age
0,AJ Cunningham,2023-09-12,1500.0,350.0,0.06,135.0,Orthodox,1994-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1068016728050205,1.6617563145361736,1.0,0.0,0.0,0.0,29
1,AJ Cunningham,2024-03-02,1331.0618050267578,275.8612998303482,0.05999999902988807,135.0,Orthodox,1994-09-07,9.1,24.0,0.0,0.0,0.0,69.0,285.0,69.0,285.0,0.0,3.0,39.0,232.0,24.0,42.0,6.0,11.0,68.0,280.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.1068016728050205,1.6617563145361736,1.0,0.0,0.0,0.0,29
2,AJ Cunningham,2025-03-15,1299.8254074276008,254.8385626172767,0.05999996727525162,135.0,Orthodox,1994-09-07,13.7,32.05839416058394,0.0,0.0,0.0,57.91970802919708,214.48905109489053,57.91970802919708,215.16058394160584,0.0,1.9927007299270072,30.94160583941606,170.55474452554745,19.2992700729927,32.5985401459854,7.678832116788321,11.335766423357663,56.583941605839414,210.16058394160584,1.335766423357664,4.328467153284672,0.0,0.0,8.72992700729927,0.0,2.0,1.1068016728050205,1.6617563145361736,1.0,0.0,0.0,0.0,30
3,AJ Dobson,2021-09-21,1500.0,350.0,0.06,185.0,Orthodox,1992-01-18,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.46734988706317326,0.2344027963830241,1.0,0.0,0.0,0.0,29
4,AJ Dobson,2022-02-12,1662.3108949760367,290.3189646746798,0.059999999975475136,185.0,Orthodox,1992-01-18,4.35,56.0,50.0,1.0,0.0,39.0,69.0,49.0,79.0,1.0,2.0,37.0,66.0,2.0,3.0,0.0,0.0,13.0,24.0,9.0,13.0,17.0,32.0,204.0,1.0,0.0,0.46734988706317326,0.2344027963830241,1.0,0.0,0.0,0.0,30
5,AJ Dobson,2022-10-22,1503.4312321694779,243.4908129310708,0.059999999975475136,185.0,Orthodox,1992-01-18,19.35,56.77519379844961,11.240310077519377,0.22480620155038755,0.0,49.07751937984496,85.27906976744185,63.72868217054263,103.03100775193798,0.22480620155038755,0.4496124031007751,40.10077519379845,76.07751937984496,5.10077519379845,5.325581395348837,3.875968992248062,3.875968992248062,37.03100775193798,65.86046511627907,5.89922480620155,9.89922480620155,6.147286821705426,9.51937984496124,66.79069767441861,1.0,1.0,0.46734988706317326,0.2344027963830241,1.0,0.0,0.0,0.0,30
6,AJ Dobson,2023-08-12,1440.2280328728484,215.60878773156523,0.05999995354635099,185.0,Orthodox,1992-01-18,34.35,47.703056768558945,50.0,0.12663755458515283,0.0,52.97379912663755,118.34497816593887,63.8471615720524,131.4017467248908,1.4366812227074235,1.5633187772925765,39.18340611353712,102.24454148471615,6.803493449781659,9.11353711790393,6.986899563318777,6.986899563318777,42.6943231441048,102.16593886462881,6.816593886462882,10.816593886462883,3.4628820960698685,5.362445414847161,59.02183406113537,1.0,2.0,0.46734988706317326,0.2344027963830241,1.0,0.0,0.0,0.0,31
7,AJ Dobson,2024-03-23,1544.315392164334,189.6219101275727,0.05999995354635099,185.0,Orthodox,1992-01-18,49.35,48.40121580547112,54.86322188449848,0.08814589665653494,0.0,57.2370820668693,123.10334346504558,74.22796352583586,144.95744680851064,1.60790273556231,2.0,33.048632218844986,93.96352583586626,8.382978723404255,11.814589665653495,15.80547112462006,17.325227963525837,48.258358662613986,107.28267477203646,5.352583586626139,9.048632218844984,3.626139817629179,6.772036474164134,124.06079027355622,2.0,2.0,0.46734988706317326,0.2344027963830241,1.0,0.0,0.0,0.0,32
8,AJ Fletcher,2021-08-31,1500.0,350.0,0.06,170.0,Switch,1997-02-18,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,-2.5666936577730755,-0.694086817803458,0.0,0.0,1.0,0.0,24
9,AJ Fletcher,2022-03-12,1662.3108949760367,290.3189646746798,0.059999999975475136,170.0,Switch,1997-02-18,2.4,61.99999999999999,50.0,0.0,0.0,10.0,16.0,10.0,18.0,1.0,2.0,6.0,10.0,1.0,2.0,3.0,4.0,7.000000000000001,11.0,0.0,1.0,3.0,4.0,33.0,1.0,0.0,-2.5666936577730755,-0.694086817803458,0.0,0.0,1.0,0.0,25
