fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
1162a74e3604c488,Ryan Gandra,1,50,,0,0,0,10,20,10,20,0,0,10,20,8,16,2,4,0,0,5,13,0,0,5,7,5
1162a74e3604c488,Ryan Gandra,1,50,,0,0,1,10,20,10,20,0,0,10,20,8,16,2,4,0,0,5,13,0,0,5,7,5
1162a74e3604c488,Zach Reese,0,50,,0,0,0,5,10,5,10,0,0,5,10,3,8,1,1,1,1,5,10,0,0,0,0,0
1162a74e3604c488,Zach Reese,0,50,,0,0,1,5,10,5,10,0,0,5,10,3,8,1,1,1,1,5,10,0,0,0,0,0
a26ea74f2e908842,King Green,1,59,,0,0,0,43,72,57,86,0,0,43,72,18,43,20,24,5,5,35,59,0,2,8,11,3
a26ea74f2e908842,King Green,1,59,,0,0,1,43,72,57,86,0,0,43,72,18,43,20,24,5,5,35,59,0,2,8,11,3
a26ea74f2e908842,Terrance McKinney,0,56,100,0,0,0,45,80,59,96,1,1,45,80,40,75,5,5,0,0,25,58,2,3,18,19,132
a26ea74f2e908842,Terrance McKinney,0,56,100,0,0,1,45,80,59,96,1,1,45,80,40,75,5,5,0,0,25,58,2,3,18,19,132
989760fa75321d69,Conor McGregor,0,0,,0,0,0,0,6,5,11,0,0,0,6,0,6,0,0,0,0,0,5,0,1,0,0,0
989760fa75321d69,Conor McGregor,0,0,,0,0,1,0,6,5,11,0,0,0,6,0,6,0,0,0,0,0,5,0,1,0,0,0
989760fa75321d69,Max Holloway,0,63,,0,0,0,12,19,14,22,0,0,12,19,8,15,0,0,4,4,5,6,0,0,7,13,37
989760fa75321d69,Max Holloway,0,63,,0,0,1,12,19,14,22,0,0,12,19,8,15,0,0,4,4,5,6,0,0,7,13,37
1b6a3b0d27654d3e,Alessandro Costa,0,42,,2,0,0,21,49,25,53,0,0,21,49,15,36,4,7,2,6,19,45,0,1,2,3,61
1b6a3b0d27654d3e,Alessandro Costa,0,43,,0,0,1,16,37,16,37,0,0,16,37,11,28,4,6,1,3,16,36,0,1,0,0,0
1b6a3b0d27654d3e,Alessandro Costa,0,41,,2,0,2,5,12,9,16,0,0,5,12,4,8,0,1,1,3,3,9,0,0,2,3,61
1b6a3b0d27654d3e,Cody Durden,0,38,0,0,0,0,28,73,30,75,0,2,28,73,21,66,2,2,5,5,27,71,1,2,0,0,12
1b6a3b0d27654d3e,Cody Durden,0,32,0,0,0,1,17,53,19,55,0,2,17,53,12,48,2,2,3,3,16,51,1,2,0,0,12
1b6a3b0d27654d3e,Cody Durden,0,55,,0,0,2,11,20,11,20,0,0,11,20,9,18,0,0,2,2,11,20,0,0,0,0,0
130b325610c54a64,Benoit Saint Denis,0,33,0,0,0,0,1,3,1,3,0,1,1,3,1,3,0,0,0,0,1,3,0,0,0,0,4
130b325610c54a64,Benoit Saint Denis,0,33,0,0,0,1,1,3,1,3,0,1,1,3,1,3,0,0,0,0,1,3,0,0,0,0,4
130b325610c54a64,Paddy Pimblett,0,80,,1,0,0,4,5,4,5,0,0,4,5,2,3,0,0,2,2,4,5,0,0,0,0,37
130b325610c54a64,Paddy Pimblett,0,80,,1,0,1,4,5,4,5,0,0,4,5,2,3,0,0,2,2,4,5,0,0,0,0,37
7765e5e779dd7dc9,Nikita Krylov,0,51,50,0,0,0,51,99,57,106,3,6,51,99,21,62,17,23,13,14,45,92,6,7,0,0,130
7765e5e779dd7dc9,Nikita Krylov,0,50,60,0,0,1,20,40,26,47,3,5,20,40,10,28,7,8,3,4,17,36,3,4,0,0,130
7765e5e779dd7dc9,Nikita Krylov,0,53,0,0,0,2,28,52,28,52,0,1,28,52,10,31,8,11,10,10,25,49,3,3,0,0,0
7765e5e779dd7dc9,Nikita Krylov,0,42,,0,0,3,3,7,3,7,0,0,3,7,1,3,2,4,0,0,3,7,0,0,0,0,0
7765e5e779dd7dc9,Robert Whittaker,0,48,,0,0,0,54,111,55,112,0,0,54,111,54,111,0,0,0,0,51,105,3,6,0,0,0
7765e5e779dd7dc9,Robert Whittaker,0,52,,0,0,1,20,38,21,39,0,0,20,38,20,38,0,0,0,0,17,32,3,6,0,0,0
7765e5e779dd7dc9,Robert Whittaker,0,47,,0,0,2,29,61,29,61,0,0,29,61,29,61,0,0,0,0,29,61,0,0,0,0,0
7765e5e779dd7dc9,Robert Whittaker,0,41,,0,0,3,5,12,5,12,0,0,5,12,5,12,0,0,0,0,5,12,0,0,0,0,0
930317fde9dbc55e,Luke Riley,1,64,,0,0,0,43,67,43,67,0,0,43,67,30,53,9,10,4,4,35,58,6,7,2,2,2
930317fde9dbc55e,Luke Riley,1,64,,0,0,1,43,67,43,67,0,0,43,67,30,53,9,10,4,4,35,58,6,7,2,2,2
930317fde9dbc55e,Kai Kamaka III,0,56,,0,0,0,23,41,23,41,0,0,23,41,9,23,4,5,10,13,23,41,0,0,0,0,0
