fight_id,Method:,Round:,Time:,Time format:,winner,loser
1162a74e3604c488,KO/TKO,1,1:15,3 Rnd (5-5-5),Ryan Gandra,Zach Reese
a26ea74f2e908842,KO/TKO,1,4:59,3 Rnd (5-5-5),King Green,Terrance McKinney
989760fa75321d69,KO/TKO,1,1:09,5 Rnd (5-5-5-5-5),Max Holloway,Conor McGregor
1b6a3b0d27654d3e,Submission,2,2:19,3 Rnd (5-5-5),Alessandro Costa,Cody Durden
130b325610c54a64,Submission,1,0:52,3 Rnd (5-5-5),Paddy Pimblett,Benoit Saint Denis
7765e5e779dd7dc9,KO/TKO,3,1:01,3 Rnd (5-5-5),Robert Whittaker,Nikita Krylov
930317fde9dbc55e,KO/TKO,1,3:03,3 Rnd (5-5-5),Luke Riley,Kai Kamaka III
118c25bda9392140,KO/TKO,1,2:31,3 Rnd (5-5-5),Gable Steveson,Elisha Ellison
e9f389ba3a1e33c4,KO/TKO,1,2:47,3 Rnd (5-5-5),Adrian Yanez,Cody Garbrandt
9e00ee7644774e18,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Farid Basharat,John Garza
e84c3f1f9a33fa90,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Wang Cong,Tracy Cortez
b223b10ef19f912c,KO/TKO,1,4:44,3 Rnd (5-5-5),Damian Pinas,Cesar Almeida
a3ab1979192b647c,Submission,3,3:40,3 Rnd (5-5-5),Brandon Royval,Lone'er Kavanagh
c572daedf2012a49,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Bautista,Cory Sandhagen
9e525f939fba3e73,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ezra Elliott,Damien Anderson
c64c6ba6eb1e1d06,KO/TKO,3,3:29,3 Rnd (5-5-5),Tommy McMillen,Alberto Montes
f2eb569176e46edf,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jean-Paul Lebosnoyani,Seokhyeon Ko
46d800ce45fdd3e6,KO/TKO,2,1:40,3 Rnd (5-5-5),Felipe Franco,Levi Rodrigues Jr.
3bd159c1bed14700,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jose Delgado,Austin Bashi
701c97405da76603,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dricus Du Plessis,Kamaru Usman
e05155c1b5c2dc74,KO/TKO,1,1:40,3 Rnd (5-5-5),RJ Harris,Alvin Hines
f2abca7379982d4f,Submission,1,2:15,3 Rnd (5-5-5),Chase Hooper,Mitch Ramirez
410e6b9e01660b35,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Alden Coria,Stewart Nicoll
4eff5a845db17572,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Christian Leroy Duncan,Jared Cannonier
52ddf20a10890b41,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Fatima Kline,Tabatha Ricci
307ea95ad7ebe466,Submission,1,4:04,3 Rnd (5-5-5),Dione Barbosa,Anna Melisano
