fight_id,Fighter,KD_x,Sig. str._x,Sig. str. %_x,Total str._x,Td_x,Td %_x,Sub. att_x,Rev._x,Ctrl_x,Round,KD_y,Sig. str._y,Sig. str. %_y,Total str._y,Td_y,Td %_y,Sub. att_y,Rev._y,Ctrl_y,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
1162a74e3604c488,Ryan Gandra,1,10 of 20,50%,10 of 20,0 of 0,---,0,0,0:05,0,1,10 of 20,50%,10 of 20,0 of 0,---,0,0,0:05,,,,,,,
1162a74e3604c488,Ryan Gandra,1,10 of 20,50%,10 of 20,0 of 0,---,0,0,0:05,1,,,50%,,,,,,,10 of 20,8 of 16,2 of 4,0 of 0,5 of 13,0 of 0,5 of 7
1162a74e3604c488,Zach Reese,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,0,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,,,,,,,
1162a74e3604c488,Zach Reese,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,1,,,50%,,,,,,,5 of 10,3 of 8,1 of 1,1 of 1,5 of 10,0 of 0,0 of 0
a26ea74f2e908842,King Green,1,43 of 72,59%,57 of 86,0 of 0,---,0,0,0:03,0,1,43 of 72,59%,57 of 86,0 of 0,---,0,0,0:03,,,,,,,
a26ea74f2e908842,King Green,1,43 of 72,59%,57 of 86,0 of 0,---,0,0,0:03,1,,,59%,,,,,,,43 of 72,18 of 43,20 of 24,5 of 5,35 of 59,0 of 2,8 of 11
a26ea74f2e908842,Terrance McKinney,0,45 of 80,56%,59 of 96,1 of 1,100%,0,0,2:12,0,0,45 of 80,56%,59 of 96,1 of 1,100%,0,0,2:12,,,,,,,
a26ea74f2e908842,Terrance McKinney,0,45 of 80,56%,59 of 96,1 of 1,100%,0,0,2:12,1,,,56%,,,,,,,45 of 80,40 of 75,5 of 5,0 of 0,25 of 58,2 of 3,18 of 19
989760fa75321d69,Conor McGregor,0,0 of 6,0%,5 of 11,0 of 0,---,0,0,0:00,0,0,0 of 6,0%,5 of 11,0 of 0,---,0,0,0:00,,,,,,,
989760fa75321d69,Conor McGregor,0,0 of 6,0%,5 of 11,0 of 0,---,0,0,0:00,1,,,0%,,,,,,,0 of 6,0 of 6,0 of 0,0 of 0,0 of 5,0 of 1,0 of 0
989760fa75321d69,Max Holloway,0,12 of 19,63%,14 of 22,0 of 0,---,0,0,0:37,0,0,12 of 19,63%,14 of 22,0 of 0,---,0,0,0:37,,,,,,,
989760fa75321d69,Max Holloway,0,12 of 19,63%,14 of 22,0 of 0,---,0,0,0:37,1,,,63%,,,,,,,12 of 19,8 of 15,0 of 0,4 of 4,5 of 6,0 of 0,7 of 13
