fighter_id,slpm,sapm,td_avg,sub_avg,weight,reach,stance,dob,wins,losses,draws,str_acc_pct,str_def_pct,td_acc_pct,td_def_pct,height_inches,fighter_name
93fe7332d16c6ad9,0.0,0.0,0.0,0.0,155,,,"Jul 13, 1978",5,3,0,0,0,0,0,,Tom Aaron
15df64c02b6b0fde,3.29,4.41,0.0,0.0,155,,Orthodox,"Jul 03, 1983",4,6,0,38,57,0,77,71,Danny Abbadi
59a9d6dac61c2540,3.0,5.67,0.0,0.0,155,66,Orthodox,"Feb 01, 1994",28,4,0,20,46,0,66,68,Nariman Abbasov
4961467134abd8be,8.44,14.06,0.0,0.0,265,80,Orthodox,"Feb 25, 1993",9,5,0,50,28,0,0,74,Darion Abbey
b361180739bed4b0,1.35,3.55,1.07,0.0,265,,Switch,"Apr 26, 1965",10,15,0,30,38,33,66,72,David Abbott
3329d692aea4dc28,4.27,3.67,3.25,0.0,265,72,Southpaw,"Jan 22, 1993",7,1,,55,51,65,100,74,Hamdy Abdelwahab
8f3837b4c06f3d1e,5.41,6.89,0.0,0.0,115,66,Orthodox,"May 15, 2004",8,0,,57,48,0,0,63,Farida Abdueva
841695e02c99a521,3.28,4.49,1.65,0.3,185,80,Orthodox,"Oct 07, 1997",9,1,1,44,46,41,83,74,Mansur Abdul-Malik
e047d3b541afd4a7,2.56,2.42,2.07,0.0,170,73,Orthodox,"Feb 02, 1997",20,3,0,42,51,33,100,68,Tahir Abdullayev
2f5cbecbbe18bac4,2.41,3.02,1.01,0.1,235,76,Orthodox,"Sep 02, 1981",20,8,0,44,55,23,45,75,Shamil Abdurakhimov
c0ed7b208197e8de,1.71,3.11,0.0,0.0,145,,Orthodox,"Feb 09, 1970",8,15,,36,63,0,33,66,Hiroyuki Abe
5140122c3eecd307,3.8,4.49,0.33,0.0,170,71,Orthodox,"Nov 27, 1991",6,2,0,33,56,50,0,71,Daichi Abe
c9f6385af6df66d7,2.8,3.15,3.47,1.3,185,,Southpaw,"Jun 30, 1978",10,4,0,55,48,57,50,71,Papy Abedi
aa6e591c2a2cdecd,3.79,3.98,2.13,0.7,185,,Orthodox,"Apr 27, 1984",5,1,0,31,68,42,100,71,Ricardo Abreu
7279654c7674cd24,2.05,2.9,0.64,0.0,205,74,Orthodox,"Dec 24, 1992",15,4,,40,55,20,80,72,Klidson Abreu
f689bd7bbd14b392,0.0,0.0,0.0,0.0,,,,"Dec 20, 1980",0,0,0,0,0,0,0,,
1c5879330d42255f,3.52,2.85,0.33,0.0,180,,Orthodox,"Dec 27, 1977",30,18,0,36,62,20,81,68,Daniel Acacio
