fighter_id,fight_id,result,event,round,time_sec,opponent_name,fighter_name,method_type,method_specific
93fe7332d16c6ad9,9be14b958737f074,loss,Strikeforce - Henderson vs. Babalu,3,300,Matt Ricehouse,Tom Aaron,U-DEC,
93fe7332d16c6ad9,bcb38a9d29822d3d,win,Strikeforce - Heavy Artillery,1,56,Eric Steenberg,Tom Aaron,SUB,Guillotine Choke
15df64c02b6b0fde,38231925d72d1309,loss,UFC 63: Hughes vs Penn,3,300,Jorge Gurgel,Danny Abbadi,S-DEC,
15df64c02b6b0fde,387bdcc2ca8709c1,loss,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,1,176,Kalib Starnes,Danny Abbadi,SUB,Rear Naked Choke
59a9d6dac61c2540,ce99b089400a4ad3,loss,DWCS 6.7,3,300,Ismael Bonfim,Nariman Abbasov,U-DEC,
4961467134abd8be,8380f331f1102802,loss,DWCS 9.3,1,64,Donte Johnson,Darion Abbey,KO/TKO,Punches
b361180739bed4b0,7067ccf701531a60,loss,EliteXC - Street Certified,1,43,Kevin Ferguson,David Abbott,KO/TKO,Punches
b361180739bed4b0,62de80851ebcc85a,loss,Strikeforce - Tank vs. Buentello,1,43,Paul Buentello,David Abbott,KO/TKO,Punch
b361180739bed4b0,148ded708e1db0a0,loss,PRIDE Final Conflict 2005,1,460,Hidehiko Yoshida,David Abbott,SUB,Gi Choke
b361180739bed4b0,d1d33be012417f75,loss,UFC 45: Revolution,1,134,Wesley Correira,David Abbott,KO/TKO,
b361180739bed4b0,ffe629a5232a878b,loss,UFC 43: Meltdown,1,119,Kimo Leopoldo,David Abbott,SUB,Arm Triangle
b361180739bed4b0,a85a0831580696ff,loss,UFC 41: Onslaught,1,46,Frank Mir,David Abbott,SUB,Toe Hold
b361180739bed4b0,f85bbc760000f001,loss,UFC - Ultimate Brazil,1,487,Pedro Rizzo,David Abbott,KO/TKO,Punch
b361180739bed4b0,1e14e79a477f2357,win,UFC 17: Redemption,1,43,Hugo Duarte,David Abbott,KO/TKO,Punches
b361180739bed4b0,764e492b55c0ec40,win,UFC - Ultimate Japan,2,180,Yoji Anjo,David Abbott,U-DEC,
b361180739bed4b0,b3cafb4e6e1b2ad0,loss,UFC 15: Collision Course,1,488,Maurice Smith,David Abbott,SUB,Other
b361180739bed4b0,0e16795e385e76a7,loss,UFC 13: The Ultimate Force,1,52,Vitor Belfort,David Abbott,KO/TKO,Punches
b361180739bed4b0,d595d2c36ddba8ee,loss,UFC - Ultimate Ultimate '96,1,82,Don Frye,David Abbott,SUB,Rear Naked Choke
b361180739bed4b0,c8ff8a72f3c5a825,win,UFC - Ultimate Ultimate '96,1,63,Steve Nelmark,David Abbott,KO/TKO,Punch
b361180739bed4b0,f84070b049bc14e6,win,UFC - Ultimate Ultimate '96,1,171,Cal Worsham,David Abbott,KO/TKO,Punches
b361180739bed4b0,9f6a7aee1fce539a,loss,UFC 11: The Proving Ground,2,180,Scott Ferrozzo,David Abbott,U-DEC,
b361180739bed4b0,398ff6015a5ba3b5,win,UFC 11: The Proving Ground,1,126,Sam Adkins,David Abbott,SUB,Forearm Choke
b361180739bed4b0,0d872527bbb3cd40,loss,UFC - Ultimate Ultimate '95,1,1080,Dan Severn,David Abbott,U-DEC,
b361180739bed4b0,6b0430e9c97afec7,win,UFC - Ultimate Ultimate '95,1,74,Steve Jennum,David Abbott,SUB,Neck Crank
b361180739bed4b0,66c029f49d3c5da6,loss,UFC 6: Clash of the Titans,1,1065,Oleg Taktarov,David Abbott,SUB,Rear Naked Choke
b361180739bed4b0,43f6b0c40113d0d8,win,UFC 6: Clash of the Titans,1,113,Paul Varelans,David Abbott,KO/TKO,Punches
b361180739bed4b0,88945d70ee6c6467,win,UFC 6: Clash of the Titans,1,20,John Matua,David Abbott,KO/TKO,Punches
3329d692aea4dc28,3fdb4c4b39218cf4,win,UFC 321: Aspinall vs. Gane,3,300,Chris Barnett,Hamdy Abdelwahab,U-DEC,
3329d692aea4dc28,a12d3a6c8aaf87ca,loss,UFC Fight Night: Hill vs. Rountree Jr.,3,300,Mohammed Usman,Hamdy Abdelwahab,U-DEC,
3329d692aea4dc28,984ce1062186f3ce,win,UFC Fight Night: Adesanya vs. Imavov,3,300,Jamal Pogues,Hamdy Abdelwahab,S-DEC,
3329d692aea4dc28,5a2b86570110191b,nc,UFC 277: Pena vs. Nunes 2,3,300,Don'Tale Mayes,Hamdy Abdelwahab,Overturned,
8f3837b4c06f3d1e,6bcf38174b14d1db,win,Road To UFC 5.2,1,122,Feng Xiaocan,Farida Abdueva,KO/TKO,Punch
841695e02c99a521,,next,,,,Dustin Stoltzfus,Mansur Abdul-Malik,,
841695e02c99a521,e32dc26b11d1f81d,loss,UFC Fight Night: Adesanya vs. Pyfer,3,219,Yousri Belgaroui,Mansur Abdul-Malik,KO/TKO,Knee
841695e02c99a521,964ea1777695851b,win,UFC 323: Dvalishvili vs. Yan 2,1,69,Antonio Trocoli,Mansur Abdul-Malik,SUB,Guillotine Choke
841695e02c99a521,08c04f18b0f58d71,draw,UFC Fight Night: Usman vs. Buckley,3,36,Cody Brundage,Mansur Abdul-Malik,Overturned,
841695e02c99a521,e011819e721c4a2a,win,UFC Fight Night: Cejudo vs. Song,2,204,Nick Klein,Mansur Abdul-Malik,KO/TKO,Punches
