fight_id,round_finished,round_total,round_time_sec,fighter_id,result,event,stoppage_time_sec,opponent_name,fighter_name,method_type,method_specific
e761c5009c09b295,2,5,300,d33da8a3d82bdb62,loss,UFC 310: Pantoja vs. Asakura,125,Alexandre Pantoja,Kai Asakura,SUB,Rear Naked Choke
e761c5009c09b295,2,5,300,a0f0004aadf10b71,win,UFC 310: Pantoja vs. Asakura,125,Kai Asakura,Alexandre Pantoja,SUB,Rear Naked Choke
c409c3a5eda764ba,1,3,300,d512d9f204059f57,loss,UFC 60: Hughes vs Gracie,139,Mike Swick,Joe Riggs,SUB,Guillotine Choke
c409c3a5eda764ba,1,3,300,9fe85152f351e737,win,UFC 60: Hughes vs Gracie,139,Joe Riggs,Mike Swick,SUB,Guillotine Choke
3a94bf34e62ae5fd,1,5,300,b1a3e0aca758b322,loss,UFC Fight Night: Jacare vs. Brunson 2,230,Jacare Souza,Derek Brunson,KO/TKO,Kick
3a94bf34e62ae5fd,1,5,300,7a703c565ccaa18f,win,UFC Fight Night: Jacare vs. Brunson 2,230,Derek Brunson,Jacare Souza,KO/TKO,Kick
d72f9b3ac742a9e3,3,3,300,d31cbcdd7d69536d,win,UFC Fight Night: Reyes vs. Prochazka,300,Kai Kamaka III,TJ Brown,S-DEC,
d72f9b3ac742a9e3,3,3,300,eee0ef3e2b14816b,loss,UFC Fight Night: Reyes vs. Prochazka,300,TJ Brown,Kai Kamaka III,S-DEC,
760b5b16b4931a77,3,3,300,6a740daf1b279661,loss,UFC 246: McGregor vs. Cowboy,300,Roxanne Modafferi,Maycee Barber,U-DEC,
760b5b16b4931a77,3,3,300,4498b382c65a7faa,win,UFC 246: McGregor vs. Cowboy,300,Maycee Barber,Roxanne Modafferi,U-DEC,
32a8f38bd1d46e3e,2,3,300,f53d4f21d1b5f2dc,win,UFC 246: McGregor vs. Cowboy,106,Anthony Pettis,Diego Ferreira,SUB,Rear Naked Choke
32a8f38bd1d46e3e,2,3,300,cbb682f5fcc44bfc,loss,UFC 246: McGregor vs. Cowboy,106,Diego Ferreira,Anthony Pettis,SUB,Rear Naked Choke
6c79db79da9ae874,1,3,300,d05412b513b19621,win,UFC Fight Night: Dern vs. Yan,64,Randy Costa,Guido Cannetti,SUB,Rear Naked Choke
6c79db79da9ae874,1,3,300,325ad0dd9126d3df,loss,UFC Fight Night: Dern vs. Yan,64,Guido Cannetti,Randy Costa,SUB,Rear Naked Choke
8c124a6196e39ad8,3,3,300,c80095f6092271a7,loss,UFC 162: Silva vs Weidman,300,Mark Munoz,Tim Boetsch,U-DEC,
8c124a6196e39ad8,3,3,300,179f1948dc234f1f,win,UFC 162: Silva vs Weidman,300,Tim Boetsch,Mark Munoz,U-DEC,
bb9020ac324fb706,1,5,300,33a331684283900f,win,UFC Fight Night: Dos Anjos vs. Alvarez,229,Rafael Dos Anjos,Eddie Alvarez,KO/TKO,Punches
bb9020ac324fb706,1,5,300,6a2f7c151031653d,loss,UFC Fight Night: Dos Anjos vs. Alvarez,229,Eddie Alvarez,Rafael Dos Anjos,KO/TKO,Punches
731a3120fdffa44c,2,3,300,83d0de122f2f9664,loss,UFC 96: Jackson vs Jardine,87,Brandon Vera,Michael Patt,KO/TKO,Kicks
731a3120fdffa44c,2,3,300,fa315e6c77eee106,win,UFC 96: Jackson vs Jardine,87,Michael Patt,Brandon Vera,KO/TKO,Kicks
9b10db4499b211b7,1,3,300,c80095f6092271a7,loss,UFC 172: Jones vs Teixeira,128,Luke Rockhold,Tim Boetsch,SUB,Kimura
9b10db4499b211b7,1,3,300,00e11b5c8b7bfeeb,win,UFC 172: Jones vs Teixeira,128,Tim Boetsch,Luke Rockhold,SUB,Kimura
c92a4fe402579c49,3,3,300,2f3f12002564bb55,loss,UFC 87: Seek And Destroy,300,Chris Wilson,Steve Bruno,U-DEC,
c92a4fe402579c49,3,3,300,a56607a451e4c70d,win,UFC 87: Seek And Destroy,300,Steve Bruno,Chris Wilson,U-DEC,
bfe4950b3de83e9c,1,3,300,1c23ec2f1b71be40,win,UFC Fight Night: Muhammad vs. Bonfim,85,Junior Tafa,Iwo Baraniewski,KO/TKO,Kick
bfe4950b3de83e9c,1,3,300,c15fa95b9a12fde4,loss,UFC Fight Night: Muhammad vs. Bonfim,85,Iwo Baraniewski,Junior Tafa,KO/TKO,Kick
357781ff34a3d39f,2,3,300,c06a9b48d4132c8e,win,UFC Fight Night: Henderson vs Thatch,109,Cody Pfister,James Moontasri,SUB,Rear Naked Choke
357781ff34a3d39f,2,3,300,5904b0b38dc6718d,loss,UFC Fight Night: Henderson vs Thatch,109,James Moontasri,Cody Pfister,SUB,Rear Naked Choke
df42fd9af4740d24,3,3,300,b7d524c77c27389b,loss,UFC 125: Resolution,153,Jeremy Stephens,Marcus Davis,KO/TKO,Punch
df42fd9af4740d24,3,3,300,18968f97ad34f15c,win,UFC 125: Resolution,153,Marcus Davis,Jeremy Stephens,KO/TKO,Punch
784a57385d0e87ff,3,3,300,1f4b04a926ef1287,loss,UFC Fight Night: Hunt vs Mir,285,Jake Matthews,Johnny Case,SUB,Rear Naked Choke
784a57385d0e87ff,3,3,300,a845f0735bc67405,win,UFC Fight Night: Hunt vs Mir,285,Johnny Case,Jake Matthews,SUB,Rear Naked Choke
6921344f8e706d0f,4,5,300,d967f0128c323de6,loss,UFC 241: Cormier vs. Miocic 2,249,Stipe Miocic,Daniel Cormier,KO/TKO,Punches
6921344f8e706d0f,4,5,300,d28dee5c705991df,win,UFC 241: Cormier vs. Miocic 2,249,Daniel Cormier,Stipe Miocic,KO/TKO,Punches
f24144fbe9e32c10,3,3,300,d1e1fdcea7c8a90a,loss,UFC Fight Night: Arlovski vs. Barnett,300,Taylor Lapilus,Leandro Issa,U-DEC,
f24144fbe9e32c10,3,3,300,8b1ed83b02303075,win,UFC Fight Night: Arlovski vs. Barnett,300,Leandro Issa,Taylor Lapilus,U-DEC,
e5cb9dfc1189d77d,3,3,300,b9f28e7045fdfce7,loss,UFC Fight Night: Sandhagen vs. Font,300,Kyler Phillips,Raoni Barcelos,U-DEC,
e5cb9dfc1189d77d,3,3,300,60425d07ef4b91a7,win,UFC Fight Night: Sandhagen vs. Font,300,Raoni Barcelos,Kyler Phillips,U-DEC,
90eb22b9eb6ed2a8,3,3,300,d6c0cdd7e467c440,win,UFC 255: Figueiredo vs. Perez,300,Dustin Stoltzfus,Kyle Daukaus,U-DEC,
90eb22b9eb6ed2a8,3,3,300,71505842fb6455c3,loss,UFC 255: Figueiredo vs. Perez,300,Kyle Daukaus,Dustin Stoltzfus,U-DEC,
bce8ece2ff26b4d4,2,3,300,583ee11abddfc581,win,UFC Fight Night: Vera vs. Sandhagen,251,Austin Lingo,Nate Landwehr,SUB,Rear Naked Choke
bce8ece2ff26b4d4,2,3,300,305d73ede05e31ad,loss,UFC Fight Night: Vera vs. Sandhagen,251,Nate Landwehr,Austin Lingo,SUB,Rear Naked Choke
8f00da6ea8186ce2,3,3,300,f626118b6da0e020,loss,UFC Fight Night: Cannonier vs. Strickland,300,Rinat Fakhretdinov,Bryan Battle,U-DEC,
8f00da6ea8186ce2,3,3,300,8f765fd5775a8873,win,UFC Fight Night: Cannonier vs. Strickland,300,Bryan Battle,Rinat Fakhretdinov,U-DEC,
212527d462690304,3,3,300,72db2a14ffa73ece,win,UFC Fight Night: Blanchfield vs. Barber,300,Ludovit Klein,Mateusz Gamrot,U-DEC,
212527d462690304,3,3,300,5b86d491d63890c5,loss,UFC Fight Night: Blanchfield vs. Barber,300,Mateusz Gamrot,Ludovit Klein,U-DEC,
4bf0be780f2d09be,3,3,300,98d961097baaf308,win,UFC Fight Night: Lewis vs. Abdurakhimov,300,Tiago dos Santos e Silva,Shane Burgos,U-DEC,
4bf0be780f2d09be,3,3,300,8ce87f7e3a9baed2,loss,UFC Fight Night: Lewis vs. Abdurakhimov,300,Shane Burgos,Tiago dos Santos e Silva,U-DEC,
cad44cd2466fb68f,1,3,300,c5a126ace82a6025,win,UFC Fight Night: Boetsch vs Henderson,97,Joe Soto,Anthony Birchak,KO/TKO,Punch
cad44cd2466fb68f,1,3,300,a4e85a58fbce64b2,loss,UFC Fight Night: Boetsch vs Henderson,97,Anthony Birchak,Joe Soto,KO/TKO,Punch
0f215b143e08f425,3,3,300,e18a19001a3f7c7d,win,UFC on FOX: Johnson vs. Benavidez 2,300,Darren Uyenoyama,Alptekin Ozkilic,S-DEC,
0f215b143e08f425,3,3,300,6546af7ab545b90c,loss,UFC on FOX: Johnson vs. Benavidez 2,300,Alptekin Ozkilic,Darren Uyenoyama,S-DEC,
539a550c0c1acd3e,3,3,300,6da99156486ed6c2,win,UFC Fight Night: Evans vs Salmon,300,Chad Reiner,Joshua Burkman,U-DEC,
539a550c0c1acd3e,3,3,300,d8022d5526b1d937,loss,UFC Fight Night: Evans vs Salmon,300,Joshua Burkman,Chad Reiner,U-DEC,
358468724d7d4322,3,3,300,773f7feacf96153e,win,UFC Fight Night: De Randamie vs. Ladd,300,Vince Morales,Benito Lopez,U-DEC,
358468724d7d4322,3,3,300,37098a6e6c27fb66,loss,UFC Fight Night: De Randamie vs. Ladd,300,Benito Lopez,Vince Morales,U-DEC,
5c281439d20184f1,3,5,300,99df7d0a2a08a8a8,win,UFC Fight Night: Blachowicz vs. Rakic,71,Aleksandar Rakic,Jan Blachowicz,KO/TKO,
5c281439d20184f1,3,5,300,333b9e5c723ac873,loss,UFC Fight Night: Blachowicz vs. Rakic,71,Jan Blachowicz,Aleksandar Rakic,KO/TKO,
8b0ff8defc1a14f4,3,3,300,c4fe2e9a06ea5bcb,loss,UFC on FUEL TV: Mousasi vs Latifi,300,Ryan LaFlare,Ben Alloway,U-DEC,
8b0ff8defc1a14f4,3,3,300,4c7781da8c6cae93,win,UFC on FUEL TV: Mousasi vs Latifi,300,Ben Alloway,Ryan LaFlare,U-DEC,
c420c376cc1d149c,3,3,300,c96d9178c9ed9e62,win,UFC 272: Covington vs. Masvidal,300,Tagir Ulanbekov,Tim Elliott,U-DEC,
c420c376cc1d149c,3,3,300,f00ac08ab056af5d,loss,UFC 272: Covington vs. Masvidal,300,Tim Elliott,Tagir Ulanbekov,U-DEC,
e186bd5e556f1b5e,2,3,300,b997be68943010fc,win,UFC 240: Holloway vs. Edgar,159,Niko Price,Geoff Neal,KO/TKO,Punches
e186bd5e556f1b5e,2,3,300,d8da10db80131bec,loss,UFC 240: Holloway vs. Edgar,159,Geoff Neal,Niko Price,KO/TKO,Punches
6e2254b4fd39ce40,1,3,300,0e041d43a47d2e4b,loss,UFC 49: Unfinished Business,24,David Terrell,Matt Lindland,KO/TKO,Punch
6e2254b4fd39ce40,1,3,300,4123fd4dcc1fe937,win,UFC 49: Unfinished Business,24,Matt Lindland,David Terrell,KO/TKO,Punch
39417b7d07c2fd83,3,3,300,9c442aaf149ea982,loss,UFC Fight Night: Allen vs. Costa,188,Nicolle Caliari,Shauna Bannon,SUB,Arm Triangle
39417b7d07c2fd83,3,3,300,fc0a4053eb8a3a59,win,UFC Fight Night: Allen vs. Costa,188,Shauna Bannon,Nicolle Caliari,SUB,Arm Triangle
434abaea90ccd299,3,3,300,2bd98ab77a8daa75,loss,UFC Fight Night: Oliveira vs. Gamrot,300,Lucas Rocha,Stewart Nicoll,U-DEC,
434abaea90ccd299,3,3,300,e0d3d9b564f95635,win,UFC Fight Night: Oliveira vs. Gamrot,300,Stewart Nicoll,Lucas Rocha,U-DEC,
ece3a7a9e930ef9d,3,3,300,52e76bb4b3e852f3,loss,UFC Fight Night: Cowboy vs. Gaethje,300,Uriah Hall,Antonio Carlos Junior,S-DEC,
ece3a7a9e930ef9d,3,3,300,65578a75fa7900e3,win,UFC Fight Night: Cowboy vs. Gaethje,300,Antonio Carlos Junior,Uriah Hall,S-DEC,
fdafa20b7ec8cb44,1,3,300,3410cf010558dc8b,loss,UFC 59: Reality Check,188,David Terrell,Scott Smith,SUB,Rear Naked Choke
fdafa20b7ec8cb44,1,3,300,4123fd4dcc1fe937,win,UFC 59: Reality Check,188,Scott Smith,David Terrell,SUB,Rear Naked Choke
3b2a24db4eeaeede,1,3,300,1a9480fc288e55d7,loss,UFC Fight Night: Cannonier vs. Rodrigues,77,Valter Walker,Don'Tale Mayes,SUB,Heel Hook
3b2a24db4eeaeede,1,3,300,f5779a2303ed76ec,win,UFC Fight Night: Cannonier vs. Rodrigues,77,Don'Tale Mayes,Valter Walker,SUB,Heel Hook
f3e1c02ce14bccfe,2,3,300,d3df1add9d9a7efb,win,UFC 184: Rousey vs Zingano,198,Ruan Potts,Derrick Lewis,KO/TKO,Punches
f3e1c02ce14bccfe,2,3,300,7e208569469c8bc8,loss,UFC 184: Rousey vs Zingano,198,Derrick Lewis,Ruan Potts,KO/TKO,Punches
f882cf76a8bce308,1,3,300,cf946e03ba2e7666,loss,UFC Fight Night: Felder vs. Hooker,201,Zubaira Tukhugov,Kevin Aguilar,KO/TKO,Punches
f882cf76a8bce308,1,3,300,aceffa19749c4dc0,win,UFC Fight Night: Felder vs. Hooker,201,Kevin Aguilar,Zubaira Tukhugov,KO/TKO,Punches
420f4e4dc341eb57,3,3,300,cf65d56b0755ed3b,win,UFC Fight Night: Dos Anjos vs. Alvarez,300,Belal Muhammad,Alan Jouban,U-DEC,
420f4e4dc341eb57,3,3,300,b1b0729d27936f2f,loss,UFC Fight Night: Dos Anjos vs. Alvarez,300,Alan Jouban,Belal Muhammad,U-DEC,
278cd1803ccc004f,3,3,300,b2e3aca4cd363477,loss,UFC 192: Cormier vs Gustafsson,300,Sergio Pettis,Chris Cariaso,U-DEC,
278cd1803ccc004f,3,3,300,de75d1c45a39e221,win,UFC 192: Cormier vs Gustafsson,300,Chris Cariaso,Sergio Pettis,U-DEC,
a3ef3d05ddd80a94,1,3,300,260bd4cef10b033f,win,UFC 283: Teixeira vs. Hill,245,Mauricio Rua,Ihor Potieria,KO/TKO,Punches
a3ef3d05ddd80a94,1,3,300,140745cbbcb023ac,loss,UFC 283: Teixeira vs. Hill,245,Ihor Potieria,Mauricio Rua,KO/TKO,Punches
d417609ea9670fb3,1,3,300,813550bc53b15fb0,win,The Ultimate Fighter: A Champion Will Be Crowned Finale,277,Joe Proctor,Yancy Medeiros,SUB,Guillotine Choke
d417609ea9670fb3,1,3,300,a36556bb1565e32d,loss,The Ultimate Fighter: A Champion Will Be Crowned Finale,277,Yancy Medeiros,Joe Proctor,SUB,Guillotine Choke
40fa4f8b4b93884e,3,3,300,8d11d9c13e2ccdf7,loss,UFC 323: Dvalishvili vs. Yan 2,21,Mairon Santos,Muhammad Naimov,KO/TKO,Punches
40fa4f8b4b93884e,3,3,300,480779d7f9a424d3,win,UFC 323: Dvalishvili vs. Yan 2,21,Muhammad Naimov,Mairon Santos,KO/TKO,Punches
762de3b0b32ba937,3,3,300,3236bf606fe9fa5b,win,UFC Fight Night: Dillashaw vs Cruz,249,Matt Mitrione,Travis Browne,KO/TKO,Punches
762de3b0b32ba937,3,3,300,ba280572acfba13f,loss,UFC Fight Night: Dillashaw vs Cruz,249,Travis Browne,Matt Mitrione,KO/TKO,Punches
3249bbbb7ce837ef,3,3,300,c21a036b4e012f1c,win,UFC Fight Night: Alvarez vs. Poirier 2,300,Ross Pearson,John Makdessi,U-DEC,
3249bbbb7ce837ef,3,3,300,4f732e58ed907eff,loss,UFC Fight Night: Alvarez vs. Poirier 2,300,John Makdessi,Ross Pearson,U-DEC,
460b421493dd9fb8,3,3,300,1c86754617d9813a,win,UFC Fight Night: Stevenson vs Guillard,300,Rich Clementi,Roan Carneiro,U-DEC,
460b421493dd9fb8,3,3,300,7d21de9c6d7c98b2,loss,UFC Fight Night: Stevenson vs Guillard,300,Roan Carneiro,Rich Clementi,U-DEC,
1cbffe3a467d0ded,4,5,300,140745cbbcb023ac,win,UFC on FOX: Shogun vs Vera,249,Brandon Vera,Mauricio Rua,KO/TKO,Punches
1cbffe3a467d0ded,4,5,300,fa315e6c77eee106,loss,UFC on FOX: Shogun vs Vera,249,Mauricio Rua,Brandon Vera,KO/TKO,Punches
49694c2d00c581ed,1,3,300,1e1dbd1cc5a7469e,loss,UFC 214: Cormier vs. Jones 2,42,Volkan Oezdemir,Jimi Manuwa,KO/TKO,Punches
49694c2d00c581ed,1,3,300,0845c81e37d3bcb3,win,UFC 214: Cormier vs. Jones 2,42,Jimi Manuwa,Volkan Oezdemir,KO/TKO,Punches
