fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
e761c5009c09b295,Alexandre Pantoja,0,61,42,1,0,0,32,52,33,53,3,7,,,,,,,,,,,,,,,166
e761c5009c09b295,Alexandre Pantoja,0,63,50,0,0,1,31,49,32,50,2,4,31,49,14,30,5,5,12,14,29,47,2,2,0,0,60
e761c5009c09b295,Alexandre Pantoja,0,33,33,1,0,2,1,3,1,3,1,3,1,3,1,3,0,0,0,0,1,3,0,0,0,0,106
e761c5009c09b295,Kai Asakura,0,58,,0,0,0,17,29,30,44,0,0,,,,,,,,,,,,,,,24
e761c5009c09b295,Kai Asakura,0,57,,0,0,1,15,26,27,40,0,0,15,26,8,17,5,6,2,3,15,25,0,1,0,0,24
e761c5009c09b295,Kai Asakura,0,66,,0,0,2,2,3,3,4,0,0,2,3,2,3,0,0,0,0,2,3,0,0,0,0,0
c409c3a5eda764ba,Mike Swick,0,41,,1,0,0,5,12,6,13,0,0,,,,,,,,,,,,,,,10
c409c3a5eda764ba,Mike Swick,0,41,,1,0,1,5,12,6,13,0,0,5,12,1,7,2,2,2,3,2,9,3,3,0,0,10
c409c3a5eda764ba,Joe Riggs,0,25,0,0,0,0,1,4,2,5,0,2,,,,,,,,,,,,,,,27
c409c3a5eda764ba,Joe Riggs,0,25,0,0,0,1,1,4,2,5,0,2,1,4,0,3,0,0,1,1,0,3,1,1,0,0,27
3a94bf34e62ae5fd,Jacare Souza,1,42,0,0,0,0,9,21,9,21,0,1,,,,,,,,,,,,,,,4
3a94bf34e62ae5fd,Jacare Souza,1,42,0,0,0,1,9,21,9,21,0,1,9,21,7,10,2,11,0,0,6,17,1,1,2,3,4
3a94bf34e62ae5fd,Derek Brunson,0,23,,0,0,0,8,34,8,34,0,0,,,,,,,,,,,,,,,0
3a94bf34e62ae5fd,Derek Brunson,0,23,,0,0,1,8,34,8,34,0,0,8,34,5,28,2,4,1,2,8,34,0,0,0,0,0
d72f9b3ac742a9e3,Kai Kamaka III,1,47,100,0,0,0,61,128,85,155,1,1,,,,,,,,,,,,,,,338
d72f9b3ac742a9e3,Kai Kamaka III,0,46,,0,0,1,22,47,23,48,0,0,22,47,11,34,4,4,7,9,18,43,1,1,3,3,45
d72f9b3ac742a9e3,Kai Kamaka III,1,53,,0,0,2,26,49,40,65,0,0,26,49,18,40,7,8,1,1,20,40,0,0,6,9,104
d72f9b3ac742a9e3,Kai Kamaka III,0,40,100,0,0,3,13,32,22,42,1,1,13,32,9,26,3,5,1,1,13,32,0,0,0,0,189
d72f9b3ac742a9e3,TJ Brown,0,38,50,1,0,0,82,211,110,243,2,4,,,,,,,,,,,,,,,36
d72f9b3ac742a9e3,TJ Brown,0,38,0,0,0,1,34,88,35,91,0,1,34,88,17,63,9,15,8,10,33,85,1,3,0,0,0
d72f9b3ac742a9e3,TJ Brown,0,34,100,1,0,2,24,69,40,87,1,1,24,69,19,63,5,6,0,0,24,69,0,0,0,0,25
d72f9b3ac742a9e3,TJ Brown,0,44,50,0,0,3,24,54,35,65,1,2,24,54,18,48,5,5,1,1,20,50,2,2,2,2,11
760b5b16b4931a77,Roxanne Modafferi,1,44,100,0,1,0,19,43,112,155,1,1,,,,,,,,,,,,,,,632
760b5b16b4931a77,Roxanne Modafferi,0,50,100,0,0,1,11,22,47,61,1,1,11,22,9,20,2,2,0,0,7,18,1,1,3,3,225
760b5b16b4931a77,Roxanne Modafferi,1,50,,0,1,2,5,10,41,58,0,0,5,10,5,10,0,0,0,0,1,3,0,0,4,7,222
760b5b16b4931a77,Roxanne Modafferi,0,27,,0,0,3,3,11,24,36,0,0,3,11,3,11,0,0,0,0,3,10,0,0,0,1,185
760b5b16b4931a77,Maycee Barber,0,51,,1,3,0,16,31,25,45,0,0,,,,,,,,,,,,,,,137
760b5b16b4931a77,Maycee Barber,0,35,,0,1,1,5,14,7,17,0,0,5,14,5,14,0,0,0,0,5,14,0,0,0,0,12
760b5b16b4931a77,Maycee Barber,0,57,,0,1,2,4,7,6,12,0,0,4,7,3,6,1,1,0,0,0,0,0,0,4,7,67
760b5b16b4931a77,Maycee Barber,0,70,,1,1,3,7,10,12,16,0,0,7,10,7,9,0,1,0,0,4,5,0,0,3,5,58
