fight_id,method,round,winner,loser,time_sec,round_total
e761c5009c09b295,Submission,2,Alexandre Pantoja,Kai Asakura,300,5
c409c3a5eda764ba,Submission,1,Mike Swick,Joe Riggs,300,3
3a94bf34e62ae5fd,KO/TKO,1,Jacare Souza,Derek Brunson,300,5
d72f9b3ac742a9e3,Decision - Split,3,TJ Brown,Kai Kamaka III,300,3
760b5b16b4931a77,Decision - Unanimous,3,Roxanne Modafferi,Maycee Barber,300,3
32a8f38bd1d46e3e,Submission,2,Diego Ferreira,Anthony Pettis,300,3
6c79db79da9ae874,Submission,1,Guido Cannetti,Randy Costa,300,3
8c124a6196e39ad8,Decision - Unanimous,3,Mark Munoz,Tim Boetsch,300,3
bb9020ac324fb706,KO/TKO,1,Eddie Alvarez,Rafael Dos Anjos,300,5
731a3120fdffa44c,KO/TKO,2,Brandon Vera,Michael Patt,300,3
9b10db4499b211b7,Submission,1,Luke Rockhold,Tim Boetsch,300,3
c92a4fe402579c49,Decision - Unanimous,3,Chris Wilson,Steve Bruno,300,3
bfe4950b3de83e9c,KO/TKO,1,Iwo Baraniewski,Junior Tafa,300,3
357781ff34a3d39f,Submission,2,James Moontasri,Cody Pfister,300,3
df42fd9af4740d24,KO/TKO,3,Jeremy Stephens,Marcus Davis,300,3
784a57385d0e87ff,Submission,3,Jake Matthews,Johnny Case,300,3
6921344f8e706d0f,KO/TKO,4,Stipe Miocic,Daniel Cormier,300,5
f24144fbe9e32c10,Decision - Unanimous,3,Taylor Lapilus,Leandro Issa,300,3
e5cb9dfc1189d77d,Decision - Unanimous,3,Kyler Phillips,Raoni Barcelos,300,3
90eb22b9eb6ed2a8,Decision - Unanimous,3,Kyle Daukaus,Dustin Stoltzfus,300,3
bce8ece2ff26b4d4,Submission,2,Nate Landwehr,Austin Lingo,300,3
8f00da6ea8186ce2,Decision - Unanimous,3,Rinat Fakhretdinov,Bryan Battle,300,3
212527d462690304,Decision - Unanimous,3,Mateusz Gamrot,Ludovit Klein,300,3
4bf0be780f2d09be,Decision - Unanimous,3,Shane Burgos,Tiago dos Santos e Silva,300,3
cad44cd2466fb68f,KO/TKO,1,Anthony Birchak,Joe Soto,300,3
0f215b143e08f425,Decision - Split,3,Alptekin Ozkilic,Darren Uyenoyama,300,3
539a550c0c1acd3e,Decision - Unanimous,3,Joshua Burkman,Chad Reiner,300,3
358468724d7d4322,Decision - Unanimous,3,Benito Lopez,Vince Morales,300,3
5c281439d20184f1,KO/TKO,3,Jan Blachowicz,Aleksandar Rakic,300,5
8b0ff8defc1a14f4,Decision - Unanimous,3,Ryan LaFlare,Ben Alloway,300,3
c420c376cc1d149c,Decision - Unanimous,3,Tim Elliott,Tagir Ulanbekov,300,3
e186bd5e556f1b5e,KO/TKO,2,Geoff Neal,Niko Price,300,3
6e2254b4fd39ce40,KO/TKO,1,David Terrell,Matt Lindland,300,3
39417b7d07c2fd83,Submission,3,Nicolle Caliari,Shauna Bannon,300,3
434abaea90ccd299,Decision - Unanimous,3,Lucas Rocha,Stewart Nicoll,300,3
ece3a7a9e930ef9d,Decision - Split,3,Uriah Hall,Antonio Carlos Junior,300,3
fdafa20b7ec8cb44,Submission,1,David Terrell,Scott Smith,300,3
3b2a24db4eeaeede,Submission,1,Valter Walker,Don'Tale Mayes,300,3
f3e1c02ce14bccfe,KO/TKO,2,Derrick Lewis,Ruan Potts,300,3
f882cf76a8bce308,KO/TKO,1,Zubaira Tukhugov,Kevin Aguilar,300,3
420f4e4dc341eb57,Decision - Unanimous,3,Alan Jouban,Belal Muhammad,300,3
278cd1803ccc004f,Decision - Unanimous,3,Sergio Pettis,Chris Cariaso,300,3
a3ef3d05ddd80a94,KO/TKO,1,Ihor Potieria,Mauricio Rua,300,3
d417609ea9670fb3,Submission,1,Yancy Medeiros,Joe Proctor,300,3
40fa4f8b4b93884e,KO/TKO,3,Mairon Santos,Muhammad Naimov,300,3
762de3b0b32ba937,KO/TKO,3,Travis Browne,Matt Mitrione,300,3
3249bbbb7ce837ef,Decision - Unanimous,3,John Makdessi,Ross Pearson,300,3
460b421493dd9fb8,Decision - Unanimous,3,Roan Carneiro,Rich Clementi,300,3
1cbffe3a467d0ded,KO/TKO,4,Mauricio Rua,Brandon Vera,300,5
49694c2d00c581ed,KO/TKO,1,Volkan Oezdemir,Jimi Manuwa,300,3
fa77134e0d90da3b,KO/TKO,1,Iuri Alcantara,Joe Soto,300,3
e2b32e1683a566af,Submission,1,Patrick Smith,Rudyard Moncayo,,
1ce1a43ef68ffc7d,KO/TKO,1,Vince Morales,Louis Smolka,300,3
97caf8fca9d9603b,KO/TKO,2,Dominick Reyes,Anthony Smith,300,3
b3c74554c871fbf8,Decision - Unanimous,3,Brandon Moreno,Jussier Formiga,300,3
cbf1e76186a0c8b3,Submission,1,Kevin Holland,Michael Chiesa,300,3
7e551ddb1494a45f,KO/TKO,2,Ryan Spann,Marcus Buchecha,300,3
2d13778322a8af82,Submission,1,Mitch Gagnon,Roman Salazar,300,3
fd60e75303622e5e,Decision - Unanimous,3,Rafa Garcia,Natan Levy,300,3
c7df07266a9597d9,KO/TKO,1,Tim Means,Ricky Rainey,300,3
4b997af9fb321123,Submission,1,Gunnar Nelson,Brandon Thatch,300,3
8b87b341bcd130ee,KO/TKO,3,Edson Barboza,Mike Lullo,300,3
f8fce67abe0ab922,Submission,3,Jussier Formiga,Ben Nguyen,300,3
6bcf5381dd8de85b,Decision - Unanimous,3,Hatsu Hioki,Bart Palaszewski,300,3
4efbd869aa0211d2,KO/TKO,2,Curtis Blaydes,Cody East,300,3
2ebfb072b178649e,KO/TKO,3,George Roop,Josh Grispi,300,3
