url,error
http://ufcstats.com/fight-details/8bfcaa85e06dc84b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6cca675fbec5a9ca,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f74f1e8602cf18d6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c86a90967b123d31,'NoneType' object is not iterable
http://ufcstats.com/fight-details/2d9e2fde9c264f4f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ffe9356d2fe656f3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1e440a1425f1d0a7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f385d0fc49095e55,'NoneType' object is not iterable
http://ufcstats.com/fight-details/577d8e25cf71566c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/39376c02e064944e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f2e14ec18f3b6672,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e5475f2cf5b74531,'NoneType' object is not iterable
http://ufcstats.com/fight-details/69f0b5f253d42c3d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/79aebe1a1f24a116,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3bfb931e73e53f68,'NoneType' object is not iterable
http://ufcstats.com/fight-details/54c58e879d0a8d36,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9e1836b84e5465de,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ca22594226b2dcc6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7bcfe834f0a5bce7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0953c5573290719a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/fa004e713a7d0898,'NoneType' object is not iterable
http://ufcstats.com/fight-details/237523159112894e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c28d8ffbb8fd3e9e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5e6ab3c7d664daa7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6f808a147a2ad9f1,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5b6ac309667e7c3b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/93d033a4d45e8ec7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/509a6dfd520dcb15,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1ac0a44f1627f05d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4711c195cc941c78,cannot access local variable 'winner' where it is not associated with a value
