fight_id,Method:,Round:,Time:,Time format:,winner,loser
1fcb50100d0e6bc6,Submission,1,0:37,3 Rnd (5-5-5),Nick Klein,Heraldo Souza
971ed760d0425fab,Submission,1,2:06,2 Rnd (10-10),Mark Kerr,Igor Borisov
acbe77c01b8f753a,Submission,1,3:41,2 Rnd (10-5),Daisuke Nakamura,Andy Ologun
b1587c8aa2ccaeeb,Submission,2,0:57,3 Rnd (5-5-5),Alex Serdyukov,Scott Norton
83daff5f87126976,Submission,3,3:25,3 Rnd (5-5-5),Julius Anglickas,Karl Reed
a7623d6fa6d4bad0,KO/TKO,1,2:35,3 Rnd (5-5-5),Hiromitsu Miura,Blas Avena
2941af61e71ba5c0,Submission,1,1:55,3 Rnd (5-5-5),Rafael Rebello,Kyle Dietz
2e0bd2897ce8d70e,KO/TKO,1,3:15,3 Rnd (5-5-5),Murilo Rua,Tony Bonello
75dbde075a0985db,Submission,1,4:35,3 Rnd (10-5-5),Igor Vovchanchyn,Valentijn Overeem
59f0fbfddc853143,Decision - Split,3,5:00,3 Rnd (5-5-5),Kenji Osawa,Yoshiro Maeda
b785a4cb8723b176,Submission,1,1:37,3 Rnd (5-5-5),Valentijn Overeem,Ray Sefo
873e2361ea6432ea,Decision - Unanimous,2,5:00,2 Rnd (10-5),Kenji Osawa,Keisuke Fujiwara
c39663306d2776d7,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Bobby Southworth,Anthony Ruiz
295ca78f56ebee0f,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tatsuya Kawajiri,Michihiro Omigawa
d06819e674091440,KO/TKO,1,8:25,3 Rnd (10-5-5),Kazuyuki Fujita,James Thompson
da08c2627f9f3384,KO/TKO,1,1:44,3 Rnd (3-3-3),Kim Couture,Lina Kvokov
acbe07e3131d14dc,Decision - Split,3,5:00,3 Rnd (5-5-5),Cub Swanson,Mackens Semerzier
00bd7b0077fcbe42,Submission,1,1:55,5 Rnd (5-5-5-5-5),Nick Diaz,Joe Hurley
9ea1eec0972dff46,Submission,1,4:59,3 Rnd (5-5-5),Samandar Murodov,Gian Siqueira
668099c4f0926c97,KO/TKO,1,4:37,3 Rnd (5-5-5),Logan Clark,Scott Harper
af5ebdc8fb23ad8e,Submission,2,3:04,3 Rnd (5-5-5),Igor Gracie,John Salgado
7a730541f3fde4aa,Submission,3,3:06,3 Rnd + OT (5-5-5-5),Rongzhu,Shin Haraguchi
3ba736f419b5830e,KO/TKO,1,3:05,3 Rnd (5-5-5),Nate Diaz,Gilbert Rael
71d2e9e817dea352,KO/TKO,1,1:43,3 Rnd (5-5-5),Mario Pinto,Lucas Camacho
b9a38c69d5aff4db,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Kyle,Marcos Rogerio de Lima
2e1b837c4cc273a2,KO/TKO,1,2:29,3 Rnd (5-5-5),Justin Eilers,Josh Diekmann
